source_id,literature,citation,year,doi_or_url,full_text_opened,locations_checked,key_finding,limitation,claim_mapping,decision
LTH-LGFV-01,lgfv_exit_transformation,"Li, Feng, and Hao. Market-Oriented Transformation and Development of Local Government Financing Platforms in China: Exploratory Research Based on Multiple Cases. Systems 10(3):65.",2022,https://doi.org/10.3390/systems10030065,true,"pp. 5-7, 17-21","Successful transformation requires business, management, and financing change; asset integration may be only formal when the platform lacks substantive management rights.","Four eastern consulting cases and no population-scale event/outcome validation.","C-007: anticipates transformation dimensions and formal-only asset integration; does not supply the proposed event-plus-function-tracing four-fate case measure.",include
LTH-LGFV-02,lgfv_exit_transformation,"Liu Hao. 硬约束下沉、债务风险演化与基层融资平台退出治理. 经济学家 2026(7):98-107.",2026,https://jjxj.swufe.edu.cn/CN/Y2026/V7/I7/98,true,"pp. 98-107","Surface transformation can be a debt maneuver; proposed exit governance includes function peeling and entity clearing, restructuring, liquidation, service continuity, and multi-agency coordination.","Prospective governance analysis rather than a validated multi-case outcome measure.","C-007: close conceptual competitor that forecloses novelty for exit pathways or function peeling alone. C-008: supports process observables, not historical causes.",include
LTH-LGFV-03,lgfv_exit_transformation,"Li Xiaohong, He Qing, and Ai Shuang. 融资平台转型、融资成本与地方政府隐性债务结构优化. 中国经济学 4(16):75-97.",2025,https://www.jcejournal.com.cn/CN/abstract/abstract210.shtml,true,"pp. 75-97","Issuer statements that they no longer perform government financing are treated as exit; the exit signal is associated with spreads while total interest-bearing debt need not fall and remaining-platform bond financing rises.","City-level difference-in-differences uses a formal declaration and does not establish removal of the underlying function.","C-007: direct adverse evidence that formal exit and functional change can diverge; motivates rather than originates the proposed distinction.",include
LTH-LGFV-04,lgfv_exit_transformation,"Fang Jiayu and Lu Yi. 分类监管政策与地方融资平台绩效---来自融资平台退出名单制管理系统的经验证据. 金融研究 2024(4):75-93.",2024,http://www.jryj.org.cn/CN/abstract/abstract1303.shtml,true,"pp. 75-93","Exit from the supervisory monitoring list is associated with improved return on assets but also debt growth and weaker long-term solvency.","Exit-list status is not a post-event function measure and the design does not classify institutional fates.","C-007: official exit is already studied as distinct from substantive outcomes; the four-fate source-packet implementation remains the narrower contribution.",include
LTH-DEBT-01,debt_resolution_recentralization,"Jin and Rial. Regulating Local Government Financing Vehicles and Public-Private Partnerships in China. IMF Working Paper 16/187.",2016,https://doi.org/10.5089/9781475536768.001,true,"pp. 4-8, 14-19","Risk regulation should follow fiscal function regardless of organizational label; conversion must not be mere relabeling or reclassification, and project classification, accounting, coordination, and audit matter.","National institutional diagnosis, not an LGFV exit sample or historical-capacity test.","C-007: explicit prior art for function-over-label measurement. C-008: supplies contemporary process requirements only.",include
LTH-DEBT-02,debt_resolution_recentralization,"Liu, Oi, and Zhang. China's Local Government Debt: The Grand Bargain. The China Journal 87:40-71.",2022,https://doi.org/10.1086/717256,true,"pp. 40-71","Central-local fiscal and political arrangements enabled backdoor local finance, while efforts to replace it with front-door finance had limited success.","Institutional historical account does not test the four exit fates or the manuscript's local historical proxy.","C-007: locates the measurement problem within known central-local debt institutions. C-008: offers an institutional alternative to a local persistent-capacity interpretation.",include
LTH-DEBT-03,debt_resolution_recentralization,"Ministry of Finance of the People's Republic of China. Press conference on increasing the local-government debt-limit replacement policy.",2024,https://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/202411/t20241109_3947230.htm,true,"official transcript, 9 Nov. 2024","The policy uses project-level identification, multi-level review, conversion of hidden debt to transparent statutory debt, monitoring, data sharing, and budget constraints.","Policy statement describes intended implementation and cannot establish achieved absorption or historical causes.","C-008: identifies observable administrative tasks that require completion evidence.",include
LTH-CAP-01,debt_resolution_recentralization,"Wingender. Intergovernmental Fiscal Reform in China. IMF Working Paper 18/88.",2018,https://doi.org/10.5089/9781484351109.001,true,"pp. 4-5, 11-17, 24-27","Budget-law reform, quotas, swaps, disclosure, and monitoring sought formal fiscal absorption, but PPPs and special funds could create new off-budget channels.","National policy diagnosis rather than a causal city-level exit study.","C-008: absorption requires named formal instruments and declining quasi-fiscal rollover; fiscal self-sufficiency alone is insufficient.",include
LTH-CAP-02,debt_resolution_recentralization,"Chen, He, and Liu. The Financing of Local Government in China: Stimulus Loan Wanes and Shadow Banking Waxes. Journal of Financial Economics 137(1):42-71.",2020,https://doi.org/10.1016/j.jfineco.2019.07.009,true,"pp. 43-44, 49-53, 60-65, 69","Maturing stimulus loans were followed by municipal corporate bonds, entrusted lending, and wealth-management funding; financing composition migrated across instruments.","Pre-2017 aggregate financing study, not an exit study, with limited real-effect evidence.","C-008: migration to another quasi-fiscal instrument or successor falsifies fiscal absorption.",include
LTH-CAP-03,compliance_functional_substitution,"Zhou. The Institutional Logic of Collusion among Local Governments in China. Modern China 36(1):47-78.",2010,https://doi.org/10.1177/0097700409347970,true,"pp. 47-49, 55-58, 69-74","Uniform mandates and vertical pressure can produce symbolic uniformity, coordinated evasion, and temporary compliance.","Qualitative evidence from policy areas other than local debt; not reducible to administrative ability.","C-008: common language or interagency contact does not establish faithful coordination; completion and non-reversal are required.",include
