query_id,literature,database,query,url,retrieved_at_utc,status,error
LGFV-01,lgfv_exit_transformation,crossref,"""local government financing vehicle"" exit transformation China",https://api.crossref.org/works?query.bibliographic=%22local+government+financing+vehicle%22+exit+transformation+China&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:37:53.110373+00:00,ok,
LGFV-01,lgfv_exit_transformation,openalex,"""local government financing vehicle"" exit transformation China",https://api.openalex.org/works?search=%22local+government+financing+vehicle%22+exit+transformation+China&per-page=50,2026-08-30T04:37:55.177985+00:00,ok,
LGFV-02,lgfv_exit_transformation,crossref,"""local government financing platform"" market transformation China",https://api.crossref.org/works?query.bibliographic=%22local+government+financing+platform%22+market+transformation+China&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:37:57.163266+00:00,ok,
LGFV-02,lgfv_exit_transformation,openalex,"""local government financing platform"" market transformation China",https://api.openalex.org/works?search=%22local+government+financing+platform%22+market+transformation+China&per-page=50,2026-08-30T04:37:58.080112+00:00,ok,
LGFV-03,lgfv_exit_transformation,crossref,地方政府融资平台 退出 转型 市场化,https://api.crossref.org/works?query.bibliographic=%E5%9C%B0%E6%96%B9%E6%94%BF%E5%BA%9C%E8%9E%8D%E8%B5%84%E5%B9%B3%E5%8F%B0+%E9%80%80%E5%87%BA+%E8%BD%AC%E5%9E%8B+%E5%B8%82%E5%9C%BA%E5%8C%96&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:37:59.312103+00:00,ok,
LGFV-03,lgfv_exit_transformation,openalex,地方政府融资平台 退出 转型 市场化,https://api.openalex.org/works?search=%E5%9C%B0%E6%96%B9%E6%94%BF%E5%BA%9C%E8%9E%8D%E8%B5%84%E5%B9%B3%E5%8F%B0+%E9%80%80%E5%87%BA+%E8%BD%AC%E5%9E%8B+%E5%B8%82%E5%9C%BA%E5%8C%96&per-page=50,2026-08-30T04:37:59.937533+00:00,ok,
DEBT-01,debt_resolution_recentralization,crossref,China local government debt resolution fiscal recentralization,https://api.crossref.org/works?query.bibliographic=China+local+government+debt+resolution+fiscal+recentralization&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:38:01.087850+00:00,ok,
DEBT-01,debt_resolution_recentralization,openalex,China local government debt resolution fiscal recentralization,https://api.openalex.org/works?search=China+local+government+debt+resolution+fiscal+recentralization&per-page=50,2026-08-30T04:38:02.093471+00:00,ok,
DEBT-02,debt_resolution_recentralization,crossref,China hidden local debt swap special refinancing bonds,https://api.crossref.org/works?query.bibliographic=China+hidden+local+debt+swap+special+refinancing+bonds&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:38:03.359007+00:00,ok,
DEBT-02,debt_resolution_recentralization,openalex,China hidden local debt swap special refinancing bonds,https://api.openalex.org/works?search=China+hidden+local+debt+swap+special+refinancing+bonds&per-page=50,2026-08-30T04:38:04.031082+00:00,ok,
DEBT-03,debt_resolution_recentralization,crossref,China local government debt restructuring financing vehicles,https://api.crossref.org/works?query.bibliographic=China+local+government+debt+restructuring+financing+vehicles&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:38:05.353022+00:00,ok,
DEBT-03,debt_resolution_recentralization,openalex,China local government debt restructuring financing vehicles,https://api.openalex.org/works?search=China+local+government+debt+restructuring+financing+vehicles&per-page=50,2026-08-30T04:38:06.068464+00:00,ok,
COMP-01,compliance_functional_substitution,crossref,organizational decoupling formal compliance substantive practice regulation,https://api.crossref.org/works?query.bibliographic=organizational+decoupling+formal+compliance+substantive+practice+regulation&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:38:07.437669+00:00,ok,
COMP-01,compliance_functional_substitution,openalex,organizational decoupling formal compliance substantive practice regulation,https://api.openalex.org/works?search=organizational+decoupling+formal+compliance+substantive+practice+regulation&per-page=50,2026-08-30T04:38:08.122474+00:00,ok,
COMP-02,compliance_functional_substitution,crossref,symbolic compliance functional substitution organizations regulation,https://api.crossref.org/works?query.bibliographic=symbolic+compliance+functional+substitution+organizations+regulation&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:38:09.402621+00:00,ok,
COMP-02,compliance_functional_substitution,openalex,symbolic compliance functional substitution organizations regulation,https://api.openalex.org/works?search=symbolic+compliance+functional+substitution+organizations+regulation&per-page=50,2026-08-30T04:38:10.099120+00:00,ok,
COMP-03,compliance_functional_substitution,crossref,policy practice decoupling organizational compliance enforcement,https://api.crossref.org/works?query.bibliographic=policy+practice+decoupling+organizational+compliance+enforcement&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:38:11.516138+00:00,ok,
COMP-03,compliance_functional_substitution,openalex,policy practice decoupling organizational compliance enforcement,https://api.openalex.org/works?search=policy+practice+decoupling+organizational+compliance+enforcement&per-page=50,2026-08-30T04:38:12.186141+00:00,ok,
TEXT-01,text_measurement_error,crossref,text as data measurement error downstream inference social science,https://api.crossref.org/works?query.bibliographic=text+as+data+measurement+error+downstream+inference+social+science&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:38:13.688846+00:00,ok,
TEXT-01,text_measurement_error,openalex,text as data measurement error downstream inference social science,https://api.openalex.org/works?search=text+as+data+measurement+error+downstream+inference+social+science&per-page=50,2026-08-30T04:38:14.398955+00:00,ok,
TEXT-02,text_measurement_error,crossref,large language model labels measurement error social science validation,https://api.crossref.org/works?query.bibliographic=large+language+model+labels+measurement+error+social+science+validation&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:38:15.912099+00:00,ok,
TEXT-02,text_measurement_error,openalex,large language model labels measurement error social science validation,https://api.openalex.org/works?search=large+language+model+labels+measurement+error+social+science+validation&per-page=50,2026-08-30T04:38:16.718383+00:00,ok,
TEXT-03,text_measurement_error,crossref,automated text classification error regression validation social science,https://api.crossref.org/works?query.bibliographic=automated+text+classification+error+regression+validation+social+science&rows=50&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2Ctype%2CURL%2Cabstract,2026-08-30T04:38:18.322521+00:00,ok,
TEXT-03,text_measurement_error,openalex,automated text classification error regression validation social science,https://api.openalex.org/works?search=automated+text+classification+error+regression+validation+social+science&per-page=50,2026-08-30T04:38:19.005411+00:00,ok,
