analytic_id,analytic_role,issuer_name,province,city,source_row_ids,observed_or_surrogate_label,label_source,gold_standard_overlap,gold_case_id,gold_final_label,surrogate_rows,source_coverage_score,continued_function_evidence_score,confidence,include_in_adjusted_descriptive_sample,notes
gold_0001,gold_outcome,西安高新控股有限公司,Shaanxi,Xian,pilot_sn_xian_hightech,nominal_exit,human_gold_standard,true,pilot_sn_xian_hightech,nominal_exit,,4,,high,true,Human-validated gold-standard outcome.
gold_0002,gold_outcome,广州市城市建设投资集团有限公司,Guangdong,Guangzhou,pilot_gd_001,substantive_exit,human_gold_standard,true,pilot_gd_001,substantive_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0003,gold_outcome,杭州市城市建设投资集团有限公司,Zhejiang,Hangzhou,pilot_zj_001,functional_transfer,human_gold_standard,true,pilot_zj_001,functional_transfer,,4,,medium,true,Human-validated gold-standard outcome.
gold_0004,gold_outcome,成都城建投资管理集团有限责任公司,Sichuan,Chengdu,pilot_sc_001,nominal_exit,human_gold_standard,true,pilot_sc_001,nominal_exit,,3,,medium,true,Human-validated gold-standard outcome.
gold_0005,gold_outcome,株洲市国有资产投资控股集团有限公司,Hunan,Zhuzhou,pilot_hn_002,nominal_exit,human_gold_standard,true,pilot_hn_002,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0006,gold_outcome,宁波开发投资集团有限公司,Zhejiang,Ningbo,pilot_zj_002,substantive_exit,human_gold_standard,true,pilot_zj_002,substantive_exit,,3,,medium,true,Human-validated gold-standard outcome.
gold_0007,gold_outcome,温州市名城建设投资集团有限公司,Zhejiang,Wenzhou,pilot_zj_003,functional_transfer,human_gold_standard,true,pilot_zj_003,functional_transfer,,3,,medium,true,Human-validated gold-standard outcome.
gold_0008,gold_outcome,徐州市新盛投资控股集团有限公司,Jiangsu,Xuzhou,pilot_js_004,nominal_exit,human_gold_standard,true,pilot_js_004,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
gold_0009,gold_outcome,衡阳市城市建设投资有限公司,Hunan,Hengyang,pilot_hn_004,nominal_exit,human_gold_standard,true,pilot_hn_004,nominal_exit,,4,,high,true,Human-validated gold-standard outcome.
gold_0010,gold_outcome,济南城市投资集团有限公司,Shandong,Jinan,pilot_sd_001,nominal_exit,human_gold_standard,true,pilot_sd_001,nominal_exit,,4,,medium,true,Human-validated gold-standard outcome.
