case_id,priority,province,city,target_platform,selection_stratum,selection_reason,collection_status,notes
pilot_zj_001,1,Zhejiang,Hangzhou,,high_capacity_coastal,Large and fiscally capable coastal city; useful for observing possible formal substitution,not_started,
pilot_zj_002,1,Zhejiang,Ningbo,,high_capacity_coastal,Strong fiscal and administrative capacity; useful comparison with Hangzhou,not_started,
pilot_zj_003,2,Zhejiang,Wenzhou,,private_economy_coastal,Coastal city with distinctive market economy; useful for variation within Zhejiang,not_started,
pilot_zj_004,2,Zhejiang,Jinhua,,within_province_variation,Prefecture-level variation within a high-capacity province,not_started,
pilot_js_001,1,Jiangsu,Nanjing,,high_capacity_coastal,Provincial capital with strong administrative and fiscal capacity,not_started,
pilot_js_002,1,Jiangsu,Suzhou,,high_capacity_coastal,High fiscal capacity and large local state sector; useful for substantive exit comparison,not_started,
pilot_js_003,2,Jiangsu,Yancheng,,within_province_variation,Non-core Jiangsu city for within-province comparison,not_started,
pilot_js_004,2,Jiangsu,Xuzhou,,within_province_variation,Northern Jiangsu city; useful for subprovincial variation,not_started,
pilot_sd_001,1,Shandong,Jinan,,mixed_capacity_north,Provincial capital in a large northern province,not_started,
pilot_sd_002,1,Shandong,Qingdao,,coastal_municipal_economy,Coastal city with stronger fiscal and state asset capacity,not_started,
pilot_sd_003,2,Shandong,Weifang,,mixed_capacity_north,Industrial city for comparison with provincial capital and coastal city,not_started,
pilot_sd_004,2,Shandong,Linyi,,mixed_capacity_north,Large prefecture-level city with different development profile,not_started,
pilot_hn_001,1,Hunan,Changsha,,central_province_capital,Provincial capital in central China; useful for cross-regional comparison,not_started,
pilot_hn_002,1,Hunan,Zhuzhou,,central_industrial_city,Industrial city with local SOE relevance,not_started,
pilot_hn_003,2,Hunan,Yueyang,,central_prefecture_variation,Prefecture-level city for within-province variation,not_started,
pilot_hn_004,2,Hunan,Hengyang,,central_prefecture_variation,Non-capital central city for variation in implementation,not_started,
pilot_gz_001,1,Guizhou,Guiyang,,debt_pressure_inland,Provincial capital in debt-stressed inland province; useful for adaptation cases,not_started,
pilot_gz_002,1,Guizhou,Zunyi,,debt_pressure_inland,High-profile local debt context; useful for nominal or transfer possibilities,not_started,
pilot_gz_003,2,Guizhou,Liupanshui,,debt_pressure_inland,Resource-linked city for variation in debt and fiscal pressure,not_started,
pilot_gz_004,2,Guizhou,Bijie,,debt_pressure_inland,Inland prefecture-level city for weak-capacity comparison,not_started,
pilot_yn_001,1,Yunnan,Kunming,,debt_pressure_inland,Provincial capital in inland province with infrastructure financing relevance,not_started,
pilot_yn_002,1,Yunnan,Qujing,,inland_prefecture_variation,Prefecture-level city for non-capital comparison,not_started,
pilot_yn_003,2,Yunnan,Yuxi,,inland_prefecture_variation,Mid-sized city for within-province variation,not_started,
pilot_yn_004,2,Yunnan,Honghe,,inland_prefecture_variation,Autonomous prefecture for institutional variation,not_started,
pilot_sc_001,1,Sichuan,Chengdu,,western_capital,Large western provincial capital with strong administrative capacity,not_started,
pilot_sc_002,1,Sichuan,Mianyang,,western_prefecture_variation,Non-capital city with industrial base,not_started,
pilot_sc_003,2,Sichuan,Luzhou,,western_prefecture_variation,Prefecture-level city for variation in local fiscal conditions,not_started,
pilot_sc_004,2,Sichuan,Nanchong,,western_prefecture_variation,Non-capital city for cross-city comparison,not_started,
pilot_gd_001,1,Guangdong,Guangzhou,,high_capacity_coastal,Large coastal provincial capital; possible high-capacity comparison,not_started,
pilot_gd_002,1,Guangdong,Shenzhen,,high_capacity_coastal,High fiscal capacity and distinctive local state structure,not_started,
pilot_gd_003,2,Guangdong,Foshan,,manufacturing_coastal,Manufacturing city for comparison within Guangdong,not_started,
pilot_gd_004,2,Guangdong,Zhanjiang,,within_province_variation,Non-core Guangdong city for subprovincial variation,not_started,
