case_id,province,city,company_name,final_label,final_confidence,source_coverage_score,primary_reference_count,secondary_reference_count,supplementary_reference_count,all_identifiers_resolved,all_evidence_files_local,some_evidence_file_local,all_documents_have_recovery_url,dedicated_evidence_memo_found,resolved_local_document_count,resolved_url_document_count,missing_document_ids,missing_source_ids,missing_local_document_ids,document_types,evidence_memo_paths
pilot_sn_xian_hightech,Shaanxi,Xian,西安高新控股有限公司,nominal_exit,high,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,prospectus;rating_report,coding/pilot_evidence_xian_hightech.md
pilot_gd_001,Guangdong,Guangzhou,广州市城市建设投资集团有限公司,substantive_exit,medium,4,1,2,2,yes,yes,yes,yes,yes,3,3,,,,company_announcement;prospectus;rating_report,coding/pilot_evidence_gz_chengtou.md;coding/pilot_evidence_gz_metro.md
pilot_zj_001,Zhejiang,Hangzhou,杭州市城市建设投资集团有限公司,functional_transfer,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus;rating_report,coding/pilot_evidence_hz_chengtou.md
pilot_sc_001,Sichuan,Chengdu,成都城建投资管理集团有限责任公司,nominal_exit,medium,3,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_cd_chengtou.md
pilot_hn_002,Hunan,Zhuzhou,株洲市国有资产投资控股集团有限公司,nominal_exit,medium,4,1,1,2,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_zhuzhou_guotou.md
pilot_zj_002,Zhejiang,Ningbo,宁波开发投资集团有限公司,substantive_exit,medium,3,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_ningbo_kaitou.md
pilot_zj_003,Zhejiang,Wenzhou,温州市名城建设投资集团有限公司,functional_transfer,medium,3,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_wenzhou_mingcheng.md
pilot_js_004,Jiangsu,Xuzhou,徐州市新盛投资控股集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_xuzhou_xinsheng.md
pilot_hn_004,Hunan,Hengyang,衡阳市城市建设投资有限公司,nominal_exit,high,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_hengyang_chengtou.md
pilot_sd_001,Shandong,Jinan,济南城市投资集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_jinan_chengjian.md;coding/pilot_evidence_jinan_chengtou.md
pilot_js_003,Jiangsu,Yancheng,盐城市城市资产投资集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_yancheng_chengzi.md
pilot_gd_003,Guangdong,Foshan,佛山市建设发展集团有限公司,functional_transfer,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_foshan_jiantou.md
pilot_js_002,Jiangsu,Suzhou,苏州城市建设投资发展集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,financial_report;prospectus,coding/pilot_evidence_suzhou_chengtou.md
pilot_sd_002,Shandong,Qingdao,青岛城市建设投资(集团)有限责任公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_qingdao_chengtou.md
pilot_sc_003,Sichuan,Luzhou,泸州市兴泸投资集团有限公司,nominal_exit,medium,4,2,3,5,yes,yes,yes,yes,yes,5,5,,,,prospectus;rating_report,coding/pilot_evidence_luzhou_xinglu.md
expand_sd_jinan_chengjian,Shandong,Jinan,济南城市建设集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_jinan_chengjian.md
expand_fj_fuzhou_chengtou,Fujian,Fuzhou,福州城市建设投资集团有限公司,functional_transfer,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,prospectus;rating_report,coding/pilot_evidence_fuzhou_chengtou.md
expand_xj_urumqi_chengtou,Xinjiang,Urumqi,乌鲁木齐城市建设投资(集团)有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,prospectus;rating_report,coding/pilot_evidence_urumqi_chengtou.md
expand_zj_yuyao_chengtou,Zhejiang,Yuyao,余姚市城市建设投资发展有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,prospectus;rating_report,coding/pilot_evidence_yuyao_chengtou.md
expand_js_taizhou_jindong,Jiangsu,Taizhou,泰州市金东城市建设投资集团有限公司,functional_transfer,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_taizhou_jindong.md
expand_hlj_harbin_chengtou,Heilongjiang,Harbin,哈尔滨市城市建设投资集团有限公司,nominal_exit,high,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_harbin_chengtou.md
expand_hb_xiaogan_chengtou,Hubei,Xiaogan,孝感市城市建设投资公司,functional_transfer,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,legal_opinion;prospectus,coding/pilot_evidence_xiaogan_chengtou.md
expand_tj_jinghai_chengtou,Tianjin,Jinghai,天津市静海城市基础设施建设投资集团有限公司,nominal_exit,high,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,legal_opinion;prospectus;rating_report,coding/pilot_evidence_jinghai_chengtou.md
expand_jx_zhanggong_jiantou,Jiangxi,Ganzhou Zhanggong,赣州市章贡区建设投资集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,legal_opinion;prospectus;rating_report,coding/pilot_evidence_zhanggong_jiantou.md
expand_zj_wenling_guotou,Zhejiang,Wenling,温岭市国有资产投资集团有限公司,functional_transfer,medium,3,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_wenling_guotou.md
expand_js_yixing_chengfa,Jiangsu,Yixing,宜兴市城市发展投资有限公司,functional_transfer,medium,3,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_yixing_chengfa.md
expand_fj_fuzhou_guozi,Fujian,Fuzhou,福州国有资本投资运营集团有限公司,functional_transfer,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,legal_opinion;prospectus;rating_report,coding/pilot_evidence_fuzhou_guozi.md
expand_js_zhenjiang_industry,Jiangsu,Zhenjiang,镇江产业投资控股集团有限公司,nominal_exit,medium,3,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_zhenjiang_industry.md
expand_js_jiangning_guozi,Jiangsu,Nanjing Jiangning,南京江宁国有资产经营集团有限公司,nominal_exit,high,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_jiangning_guozi.md
expand_js_changshu_invest,Jiangsu,Changshu,常熟市投资控股集团有限公司,functional_transfer,medium,3,1,1,1,yes,no,no,yes,yes,0,2,,,doc_js_changshu_invest_2026_mtn3_001;doc_js_changshu_invest_2026_mtn3_002,legal_opinion;prospectus,coding/pilot_evidence_changshu_invest.md
expand_ah_suzhou_chengtou,Anhui,Suzhou,宿州市城市建设投资集团(控股)有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,financial_statement;prospectus,coding/pilot_evidence_suzhou_ah_chengtou.md
expand_hb_huangshi_chengfa,Hubei,Huangshi,黄石市城市发展投资集团有限公司,nominal_exit,medium,3,1,3,1,yes,yes,yes,yes,yes,4,4,,,,issuance_plan;prospectus,coding/pilot_evidence_huangshi_chengfa.md
expand_js_yancheng_chengnan,Jiangsu,Yancheng,盐城市城南新区开发建设投资有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,issuance_disclosure_document;legal_opinion;prospectus,coding/pilot_evidence_yancheng_chengnan.md
expand_js_suzhou_xiangcheng,Jiangsu,Suzhou Xiangcheng,苏州市相城城市建设投资(集团)有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_suzhou_xiangcheng.md
expand_sd_linyi_chengtou,Shandong,Linyi,临沂城市建设投资集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,issuance_disclosure_document;legal_opinion;prospectus,coding/pilot_evidence_linyi_chengtou.md
expand_jx_jian_chengtou,Jiangxi,Ji'an,吉安市城市建设投资开发有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,legal_opinion;prospectus;rating_report,coding/pilot_evidence_jian_chengtou.md
expand_hen_luoyang_chengxiang,Henan,Luoyang,洛阳城乡建设投资集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_luoyang_chengxiang.md
expand_js_zhangjiagang_chengtou,Jiangsu,Zhangjiagang,张家港市城市投资发展集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_zhangjiagang_chengtou.md
expand_tj_jinnan_chengtou,Tianjin,Tianjin Jinnan,天津津南城市建设投资有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_jinnan_chengtou.md
expand_ah_luan_chengtou,Anhui,Lu'an,六安城市建设投资有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_luan_chengtou.md
expand_js_taizhou_chengtou,Jiangsu,Taizhou,泰州市城市建设投资集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_taizhou_chengtou.md
expand_jx_jingdezhen_chengtou,Jiangxi,Jingdezhen,景德镇市城市建设投资集团有限责任公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_jingdezhen_chengtou.md
expand_hb_jingmen_chengtou,Hubei,Jingmen,荆门市城市建设投资有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_jingmen_chengtou.md
expand_jx_shangrao_chengtou,Jiangxi,Shangrao,上饶市城市建设投资开发集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_shangrao_chengtou.md
expand_js_huaian_touzi,Jiangsu,Huai'an,淮安市投资控股集团有限公司,nominal_exit,high,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_huaian_touzi.md
expand_hn_yiyang_jiaotou,Hunan,Yiyang,益阳市交通投资运营集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_yiyang_jiaotou.md
expand_js_xinghua_guotou,Jiangsu,Xinghua,泰州市兴化国有资产投资控股有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,financial_statement;prospectus,coding/pilot_evidence_xinghua_guotou.md
expand_sc_leshan_guozi,Sichuan,Leshan,乐山国有资产投资运营(集团)有限公司,nominal_exit,high,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_leshan_guozi.md
expand_sd_dezhou_deda,Shandong,Dezhou,德州德达投资控股集团有限公司,nominal_exit,high,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_dezhou_deda.md
expand_jx_fuzhou_guozi,Jiangxi,Fuzhou,抚州市市属国有资产投资控股集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_jiangxi_fuzhou_guozi.md
sch_20260630_0155,Yunnan,Kunming,昆明市交通投资集团有限责任公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_kunming_jiaotou.md
sch_20260630_0117,Xinjiang,Yili,伊犁州国有资产投资经营有限责任公司,nominal_exit,high,4,1,1,2,yes,yes,yes,yes,yes,2,2,,,,prospectus,coding/pilot_evidence_yili_guotou.md
sch_20260630_0027,Anhui,Bozhou,建安投资控股集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,issuance_disclosure_document;legal_opinion;prospectus,coding/pilot_evidence_jianan_holding.md
sch_20260630_0055,Jiangxi,Shangrao,上饶创新发展产业投资集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,issuance_disclosure_document;legal_opinion;prospectus,coding/pilot_evidence_shangrao_innovation.md
sch_20260630_0151,Hebei,Shijiazhuang,石家庄市交通投资开发有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,issuance_disclosure_document;prospectus,coding/pilot_evidence_shijiazhuang_jiaotou.md
sch_20260630_0052,Jiangsu,Nanjing,南京市交通建设投资控股(集团)有限责任公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,issuance_disclosure_document;legal_opinion;prospectus,coding/pilot_evidence_nanjing_jiaotou.md
sch_20260630_0019,Jiangsu,Haian,江苏腾海投资控股集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,issuance_disclosure_document;legal_opinion;prospectus,coding/pilot_evidence_haian_tenghai.md
sch_20260630_0142,Jiangsu,Gaochun,江苏高淳国际慢城文化旅游产业投资集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,issuance_disclosure_document;legal_opinion;prospectus,coding/pilot_evidence_gaochun_mancheng.md
sch_20260630_0068,Zhejiang,Jiaxing,嘉兴市嘉秀发展投资控股集团有限公司,nominal_exit,medium,4,1,1,3,yes,yes,yes,yes,yes,2,2,,,,legal_opinion;prospectus,coding/pilot_evidence_jiaxing_jiaxiu.md
expand_gx_nanning_chengtou,Guangxi,Nanning,南宁城市建设投资集团有限责任公司,nominal_exit,medium,4,1,1,2,yes,yes,yes,yes,yes,2,2,,,,prospectus;rating_report,coding/pilot_evidence_nanning_chengtou.md
pilot_gd_001_alt_metro,Guangdong,Guangzhou,广州地铁集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,prospectus;rating_report,coding/pilot_evidence_gz_metro.md
pilot_js_001_alt_metro,Jiangsu,Nanjing,南京地铁集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,yes,3,3,,,,legal_opinion;prospectus,coding/pilot_evidence_nanjing_metro.md
sch_20260630_0035,Zhejiang,Jiashan,嘉善县高新科技园区建设投资有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,legal_opinion;prospectus,
sch_20260630_0015,Jiangsu,Xuzhou,徐州经济技术开发区国有资产经营有限责任公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,legal_opinion;prospectus,
sch_20260630_0029,Jiangsu,Jiangyin,江阴高新区投资开发有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,legal_opinion;prospectus,
sch_20260630_0047,Jiangsu,Liyang,溧阳市城市建设发展集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,legal_opinion;prospectus,
sch_20260630_0051,Beijing,Beijing,北京未来科学城发展集团有限公司,nominal_exit,medium,4,1,2,1,yes,yes,yes,yes,no,3,3,,,,legal_opinion;prospectus;rating_report,
sch_20260630_0056,Xinjiang,Urumqi,新疆城建(集团)股份有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,legal_opinion;prospectus,
sch_20260630_0005,Hebei,Xingtai,河北顺德投资集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus,
sch_20260630_0048,Jiangsu,Changzhou,常州市交通产业集团有限公司,nominal_exit,medium,4,2,1,1,yes,yes,yes,yes,no,3,3,,,,legal_opinion;prospectus,
sch_20260630_0046,Jiangsu,Xuzhou,徐州市交通控股集团有限公司,nominal_exit,medium,4,2,2,1,yes,yes,yes,yes,no,4,4,,,,legal_opinion;prospectus,
sch_20260630_0014,Henan,Zhengzhou,河南航空港投资集团有限公司,nominal_exit,medium,4,2,1,1,yes,yes,yes,yes,no,3,3,,,,legal_opinion;prospectus,
sch_20260630_0021,Jiangsu,Taixing,泰兴市中兴国有资产经营投资集团有限公司,nominal_exit,medium,4,2,2,1,yes,yes,yes,yes,no,4,4,,,,legal_opinion;prospectus,
sch_20260630_0044,Jiangsu,Danyang,丹阳投资集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,issuance_disclosure_document;prospectus,
sch_20260630_0006,Shandong,Jinan,济南高新控股集团有限公司,nominal_exit,medium,4,1,1,1,yes,yes,yes,yes,no,2,2,,,,prospectus;rating_report,
