case_id,city,final_label,fiscal_absorption,coordination,project_asset_governance
pilot_js_002,Suzhou,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing language coexists with continuing evidence that the same issuer remains Suzhou's main urban infrastructure and public-utility investment construction and operation body, is described as responsible for project funding and debt repayment, and holds delegated-project accounts, fiscal special funds, and government-directed stakes in new-town and logistics projects."
expand_fj_fuzhou_chengtou,Fuzhou,Functional transfer,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing language coexists with a major reorganization of public-project finance. The issuer remains a leading Fuzhou infrastructure, shantytown-renovation, affordable-housing, municipal代建, and area-development platform, but the prospectus documents that after 2011 municipal project funding shifted from issuer financing with fiscal repayment to full fiscal appropriation and management-fee settlement. PPP projects, government-purchase-service projects that were later adjusted, fiscal subsidies, government receivables, and rating evidence of continuing fiscal support all point to functional transfer rather than substantive disappearance."
expand_fj_fuzhou_guozi,Fuzhou,Functional transfer,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"The same legal issuer was converted from a development-oriented state-owned assets investment group into a state-capital investment and operation platform. Direct urban infrastructure and area-development language disappeared from the issuer business scope, while municipal infrastructure functions continued through equity stakes in Fuzhou Chengtou, Fuzhou Zuohai, and other city platforms and through the Mindu infrastructure fund. This is a transfer into portfolio and fund channels rather than substantive disappearance."
pilot_gd_001,Guangzhou,Substantive exit,Budget-funded project management and 2018 fiscal debt replacement.,"Post-2014 role shift appears across issuer, rating, and debt-replacement documents.",Public projects remain as management tasks rather than new platform financing.
pilot_zj_002,Ningbo,Substantive exit,"Negative evidence shows no government purchase service, BT, PPP, land preparation, or fiscal repayment.",Issuer-level compliance evidence is strong; an independent list source is still missing.,No major continuing platform function is found; a residual receivable is treated as engineering background.
pilot_zj_001,Hangzhou,Functional transfer,Debt succession and asset transfer occurred through formal reorganization.,"Qiantou transfer, city-investment consolidation, and Anju creation link multiple municipal entities.",Public project and housing functions moved within the municipal platform system.
expand_js_zhenjiang_industry,Zhenjiang,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"The 2023 restructuring created an industrial-investment holding group and contains formal government-financing-function stripping language. But the same group system continues to show traffic infrastructure construction, land整理, fiscal-payment arrangements, government-linked receivables, and repurchase-payment risk. The corporate label changed more clearly than the quasi-fiscal development function, so this is coded as nominal exit."
pilot_sd_001,Jinan,Nominal exit,Land-preparation gains and fiscal subsidies compensate the issuer.,Non-platform-list disclosure is present; the original list basis has not yet been collected.,"Land preparation, government authorization, infrastructure, affordable housing, and entrusted assets continue."
expand_sd_jinan_chengjian,Jinan,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal no-government-financing language coexists with continuing engineering construction, land preparation, and delegated infrastructure-construction functions. The issuer discloses PPP and BT or entrusted-construction arrangements, a historical project placed under hidden-debt management and resolved, government receivables, land injected by public authorities, and current Jinan Start-up Area infrastructure projects operated through entrusted construction and settlement with public-sector counterparties."
sch_20260630_0052,Nanjing,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,Formal no-government-financing and no-local-government-debt language coexists with continuing evidence that the same Nanjing SASAC-controlled transport group remains the city's main road bridge expressway railway-supporting and transport-project investment construction operation and financing platform. The source packet records municipal capital injections SASAC transfers toll-right pledges government-related receivables fiscal subsidies public-institution counterparties and transport-infrastructure debt pressure. Official compliance therefore does not amount to functional disappearance of the public infrastructure finance role.
pilot_gd_003,Foshan,Functional transfer,Fiscal settlement for entrusted construction and contract-based payments are documented.,SASAC-entrusted land preparation coexists with disclosure that the issuer was outside the 2018 platform directory.,Public project tasks are formalized through SASAC-owned land and contract settlement.
pilot_sc_001,Chengdu,Nominal exit,Debt replacement and government-bond pass-through coexist with fiscal-payment chains.,"Issuer compliance language is present, but an independent exit-list source is still missing.",The same issuer continues infrastructure investment and financing functions.
expand_jx_fuzhou_guozi,Fuzhou,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"Formal stripping and marketized-transformation language coexists with continuing infrastructure construction, affordable-housing and shantytown projects, government purchase service, PPP projects, government buyback, fiscal payment, finance-bureau receivables, land-related legacy activity, and infrastructure subsidies. The issuer remains the city's core public-development vehicle, so the case is coded as nominal exit."
expand_jx_jian_chengtou,Ji'an,Nominal exit,Evidence not separately mechanism-coded in the current pilot table.,Evidence not separately mechanism-coded in the current pilot table.,"The formal stripping of government financing functions coexists with land consolidation, infrastructure construction, affordable housing, entrusted construction, finance-bureau receivables, fiscal settlement, and government subsidies. These functions remain attached to the same issuer rather than disappearing institutionally, so the case is coded as nominal exit."
pilot_sn_xian_hightech,Xi'an,Nominal exit,Direct fiscal-substitution evidence remains limited.,The 2012 platform-list exit is issuer-disclosed; later business-module transfers appear partial.,"The issuer retains BT, entrusted-construction, and government-repurchase exposure."
