excerpt_id,document_id,validation_unit_id,locator,page_text_sha256,evidence_use,verbatim_excerpt,interpretation,contradiction_status
"EXP003-E01","tracked_chinabond_bond_inventory","mv_dd84e076bf32","data/bond_inventory.csv row for pilot_gz_001_alt_rail","d9065d1bc674d2f85c5f68e598fff14cb60478babc90d0d4ce61118a41a273a4","origin linkage","bond_name_abbr=15贵阳轨道可续期债; bond_code=1580264; issuer_abbr=贵阳市交通运营集团; issue_date=2015-11-19","The frozen case originated from a unique bond code and a short issuer name, not from an exact registered legal name.","Frozen name adds 有限公司 to an abbreviation; retained"
"EXP003-E02","web_guiyang_2022_midyear_bond_report","mv_dd84e076bf32","PDF page 6 (printed page 6)","857653d4c55c7b5e05cdcbcb31e0f0056db902e4e167203adca7619b96eb1522","current issuer to old bond linkage","发行人/公司 指 贵阳市公共交通投资运营集团有限公司；本期债券 指 发行总额为人民币20亿元的“2015年贵阳市城市轨道交通有限公司可续期公司债券”，简称“15贵阳轨道可续期债”。","The current legal issuer reports the old-name bond as its own outstanding bond.","Old legal-name variant without 集团 retained"
"EXP003-E03","web_guiyang_2022_midyear_bond_report","mv_dd84e076bf32","PDF page 7 (printed page 7)","b347d9e354f78d1dff894a0c63b52560c468c724a5fdfe0e7119e4d73234d307","current legal name; abbreviation; geography","中文名称 贵阳市公共交通投资运营集团有限公司；中文简称 贵阳市交通运营集团；注册地址 贵州省贵阳市诚信南路533号；办公地址 贵州省贵阳市观山湖区腾祥迈德国际A1栋。","The frozen string corresponds to the current issuer abbreviation with a legal suffix added; the supported current legal name and both issuer addresses identify Guiyang.","Frozen display-name construction retained; supported legal name corrected prospectively"
"EXP003-E04","web_guiyang_2022_midyear_bond_report","mv_dd84e076bf32","PDF page 8 (printed page 8)","166d8c4866e0df154f0ee3f131ec5e4d8422885399e0b3e87c8197849a34c035","controller level","报告期末控股股东名称：贵阳市人民政府国有资产监督管理委员会……报告期末实际控制人名称：贵阳市人民政府国有资产监督管理委员会。","The focal issuer is controlled by a prefecture-level city SASAC.","none"
"EXP003-E05","web_guiyang_2022_midyear_bond_report","mv_dd84e076bf32","PDF page 9 (printed page 9)","c2dab4c272c1ee2a42e4c7eb941ba3d238d29591a67c5aa4ea7a84adecf71440","platform role","公司主要业务包括：轨道交通项目的融资、投资、建设、运营管理和沿线土地一、二级开发；城市轨道交通相关广告设计、制作及发布；城市轨道交通相关物业管理、资产经营、业务咨询、大数据等相关综合资源开发。","Issuer-level business evidence directly satisfies the frozen public infrastructure financing, construction, and operation role.","none"
"EXP003-E06","web_guiyang_2022_midyear_bond_report","mv_dd84e076bf32","PDF page 13 (printed page 13)","6d0a2ce9d62cc96e1a07766709bf9ccb3e2b8b0d81831a643047426eed75b434","unique bond identifier","债券名称 2015年贵阳市城市轨道交通有限公司可续期公司债券；债券简称 15贵阳轨道可续期债；债券代码 1580264.IB。","The current issuer's report exactly matches the origin inventory's unique bond code and abbreviation.","Old legal-name variant retained"
"EXP003-E07","web_guiyang_2023_bond_agent_report","mv_dd84e076bf32","PDF page 1 (printed cover)","fb00cd518193c677574c5a9faea0e6cd55f7a7341573d0326c3439cc5e0e3f38","independent bond-agent linkage","债券代码：1580264.IB；债券简称：15贵阳轨道可续期债；贵阳市公共交通投资运营集团有限公司公司债券债权代理事务报告；发行人：贵阳市公共交通投资运营集团有限公司；住所：贵州省贵阳市观山湖区诚信南路533号。","The bond agent independently links the unique bond to the current legal issuer and Guiyang address.","none"
"EXP003-E08","web_guiyang_2023_bond_agent_report","mv_dd84e076bf32","PDF page 5 (printed page 5)","961188569a225eb4195b45fe279a564c3eac3f2ef5aebbb9567f35298ada2980","contradictory old-name variant","债券名称：2015年贵阳市城市轨道交通集团有限公司可续期公司债券；债券简称及代码：15贵阳轨道可续期债，1580264.IB。","This report inserts 集团 in the old bond name, unlike the issuer report. The unique code is unchanged, so the name variant is preserved rather than silently normalized.","Contradictory old-name variant retained"
"EXP003-E09","web_guiyang_2023_bond_agent_report","mv_dd84e076bf32","PDF page 9 (printed page 9)","39909e592972a266d20b98f0d78653e5fd15ec26986f17280ba4c6e584b409e9","current identifier; address; role","公司名称：贵阳市公共交通投资运营集团有限公司；住所：贵州省贵阳市观山湖区诚信南路533号；统一社会信用代码：915201006884072115；经营范围：轨道交通项目的融资、投资、建设、运营管理和沿线土地一、二级开发。","The current legal issuer's identifier, address, and platform role are corroborated by the bond agent.","none"
"EXP003-E10","web_guiyang_s1_environment_report","mv_dd84e076bf32","PDF page 70 (printed annex 1)","b6770484b730675a25b14800217a13f42f5150928c5e59fd9bf5fa7fb32bdf3d","government-hosted identifier; address; public project role","单位名称 贵阳市公共交通投资运营集团有限公司；统一社会信用代码（组织机构代码）915201006884072115；通讯地址 贵阳市观山湖区诚信南路533号；项目名称 贵阳市轨道交通S1线一期220kV汪官变#3主变扩建工程。","A government-hosted project report ties the same legal identifier and Guiyang address to a rail-transit infrastructure project.","none"
