source_id,title,authors,year,venue,doi_or_url,source_type,search_query,screened_at,fulltext_checked,method,population,key_finding,limitations,relevance,claim_ids,verification_status,notes_path
LTH-LGFV-01,"Market-Oriented Transformation and Development of Local Government Financing Platforms in China: Exploratory Research Based on Multiple Cases","Li; Feng; Hao",2022,Systems,https://doi.org/10.3390/systems10030065,peer_reviewed,"LGFV-02 plus targeted title search",2026-08-30,true,"comparative consulting cases","four eastern Chinese LGFPs","Transformation requires business, management, and financing change; asset integration can be merely formal.","Small purposive case set; no population-scale fate validation.",lgfv_measurement,"C-007",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-LGFV-02,"硬约束下沉、债务风险演化与基层融资平台退出治理","Liu Hao",2026,经济学家,https://jjxj.swufe.edu.cn/CN/Y2026/V7/I7/98,peer_reviewed,"LGFV-03 plus targeted title search",2026-08-30,true,"institutional analysis","Chinese county-level financing platforms","Distinguishes superficial transformation from function peeling, restructuring, and liquidation.","Prospective governance analysis, not a validated multi-case outcome measure.",lgfv_measurement,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-LGFV-03,"融资平台转型、融资成本与地方政府隐性债务结构优化","Li Xiaohong; He Qing; Ai Shuang",2025,中国经济学,https://www.jcejournal.com.cn/CN/abstract/abstract210.shtml,peer_reviewed,"LGFV-03 plus targeted title search",2026-08-30,true,"city difference-in-differences","Chinese city platforms and bond issuers","Formal no-government-financing declarations affect pricing while debt need not fall and financing can move to remaining platforms.","Formal declaration does not establish function removal.",lgfv_measurement,"C-007",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-LGFV-04,"分类监管政策与地方融资平台绩效---来自融资平台退出名单制管理系统的经验证据","Fang Jiayu; Lu Yi",2024,金融研究,http://www.jryj.org.cn/CN/abstract/abstract1303.shtml,peer_reviewed,"LGFV-03 plus targeted title search",2026-08-30,true,"panel policy evaluation","1297 Chinese platforms","Monitoring-list exit improves ROA but debt grows and long-term solvency worsens.","List status is not a function-location measure.",lgfv_measurement,"C-007",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-DEBT-01,"Regulating Local Government Financing Vehicles and Public-Private Partnerships in China","Jin; Rial",2016,IMF Working Papers,https://doi.org/10.5089/9781475536768.001,institutional,"DEBT-03 plus targeted IMF search",2026-08-30,true,"institutional policy analysis","China","Regulation should follow fiscal function regardless of label and guard against relabeling.","National diagnosis, not an exit sample.",lgfv_measurement,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-DEBT-02,"China's Local Government Debt: The Grand Bargain","Liu; Oi; Zhang",2022,The China Journal,https://doi.org/10.1086/717256,peer_reviewed,"DEBT-01 plus targeted title search",2026-08-30,true,"institutional historical analysis","China","Central-local arrangements enabled backdoor finance and limited front-door reform.","Does not classify exit fates or test local historical capacity.",debt_institutions,"C-007;C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-DEBT-03,"Press conference on increasing the local-government debt-limit replacement policy","Ministry of Finance of the People's Republic of China",2024,Ministry of Finance,https://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/202411/t20241109_3947230.htm,government,"targeted official-site search",2026-08-30,true,"official policy statement","China","Specifies project identification, multi-level review, statutory-debt conversion, monitoring, and data sharing.","Describes intended policy, not achieved implementation.",mechanisms,"C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-CAP-01,"Intergovernmental Fiscal Reform in China","Wingender",2018,IMF Working Papers,https://doi.org/10.5089/9781484351109.001,institutional,"DEBT-01 plus targeted IMF search",2026-08-30,true,"institutional policy analysis","China","Formal fiscal reforms can coexist with new off-budget channels.","National diagnosis rather than city-level exit study.",mechanisms,"C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-CAP-02,"The Financing of Local Government in China: Stimulus Loan Wanes and Shadow Banking Waxes","Chen; He; Liu",2020,Journal of Financial Economics,https://doi.org/10.1016/j.jfineco.2019.07.009,peer_reviewed,"DEBT-03 plus targeted title search",2026-08-30,true,"panel financing analysis","Chinese provinces and cities","Maturing bank loans were followed by bonds and shadow-banking instruments.","Not an exit study; limited real-effect evidence.",mechanisms,"C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
LTH-CAP-03,"The Institutional Logic of Collusion among Local Governments in China","Zhou",2010,Modern China,https://doi.org/10.1177/0097700409347970,peer_reviewed,"COMP-03 plus targeted title search",2026-08-30,true,"organizational theory with qualitative evidence","Chinese local governments","Uniform mandates can produce coordinated evasion and temporary compliance.","Policy areas other than local debt.",mechanisms,"C-008",fulltext-verified,experiments/EXP-20260830-009/artifacts/verified_source_matrix.csv
