case_id,city,primary_source,primary_source_short,formal_event,post_event_function,final_label
pilot_js_002,Suzhou,doc_js_sz_chengtou_2026_mtn1_009 lines 868-886;916-919;4792-4820,"2026 MTN disclosure, lines 868-886;916-919;4792-4820",2015 no-government-financing and no-new-hidden-debt language,main urban infrastructure and public-utility investment construction operation body with project funding and debt repayment responsibilities,Nominal exit
expand_fj_fuzhou_chengtou,Fuzhou,doc_fj_fz_chengtou_2026_scp2_005 lines 1055-1059;1167-1170;1218-1220,"2026 SCP disclosure, lines 1055-1059;1167-1170;1218-1220",Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,"Formal no-government-financing language coexists with a major reorganization of public-project finance. The issuer remains a leading Fuzhou infrastructure, shantytown-renovation, affordable-housing, municipal代建, and area-development platform, but the prospectus documents that after 2011 municipal project funding shifted from issuer financing with fiscal repayment to full fiscal appropriation and management-fee settlement. PPP projects, government-purchase-service projects that were later adjusted, fiscal subsidies, government receivables, and rating evidence of continuing fiscal support all point to functional transfer rather than substantive disappearance.",Functional transfer
expand_fj_fuzhou_guozi,Fuzhou,doc_fj_fz_guozi_2026_scp1_006 lines 139-145;162-173;203-211;535-540,"2026 SCP disclosure, lines 139-145;162-173;203-211;535-540","Legal opinion reports that Fuzhou SASAC approved the company name change from Fuzhou State-Owned Assets Investment Development Group to Fuzhou State Capital Investment and Operation Group in January 2022 and changed its business scope from urban infrastructure, area development, utilities, strategic-industry development, and real estate to headquarters management, own-fund investment, venture investment, and consulting.","The same legal issuer was converted from a development-oriented state-owned assets investment group into a state-capital investment and operation platform. Direct urban infrastructure and area-development language disappeared from the issuer business scope, while municipal infrastructure functions continued through equity stakes in Fuzhou Chengtou, Fuzhou Zuohai, and other city platforms and through the Mindu infrastructure fund. This is a transfer into portfolio and fund channels rather than substantive disappearance.",Functional transfer
pilot_gd_001,Guangzhou,doc_gd_gz_chengtou_2026_mtn4_004 lines 927-931;6537-6548;6756-6761,"2026 MTN disclosure, lines 927-931;6537-6548;6756-6761",2014 shift away from new government-project investment-financing,budget-funded project management and city construction functions remained,Substantive exit
pilot_zj_002,Ningbo,doc_zj_nb_kaitou_2026_mtn4_prospectus lines 927-932,"2026 prospectus, lines 927-932",2015 no-government-financing language and explicit absence of core platform businesses,No major continuing platform function found in the prospectus; residual engineering receivable disclosed as non-financing background,Substantive exit
pilot_zj_001,Hangzhou,doc_zj_hz_chengtou_2024_mtn1_prospectus lines 1188-1192;222-228;272-288,"2024 prospectus, lines 1188-1192;222-228;272-288",2022 reorganization through Qiantou equity transfer and Anju creation,public project and debt functions continued inside enlarged city investment system,Functional transfer
expand_js_zhenjiang_industry,Zhenjiang,doc_js_zhenjiang_industry_2026_cp3_003 lines 138-145;366-380;397-400;642-645;650-668;953-980;996-1022;1140-1173,"2026 source document, lines 138-145;366-380;397-400;642-645;650-668;953-980;996-1022;1140-1173","Zhenjiang municipal government issued the 2023 notice establishing Zhenjiang Industrial Investment Holding Group through the reorganization of Zhenjiang Guotou Real Estate Development, the transfer of Zhenjiang State-Owned Investment Holding Group and a 55 percent stake in Zhenjiang Transportation Industry Group, and related asset stripping and injection.","The 2023 restructuring created an industrial-investment holding group and contains formal government-financing-function stripping language. But the same group system continues to show traffic infrastructure construction, land整理, fiscal-payment arrangements, government-linked receivables, and repurchase-payment risk. The corporate label changed more clearly than the quasi-fiscal development function, so this is coded as nominal exit.",Nominal exit
pilot_sd_001,Jinan,doc_sd_jn_chengtou_2025_mtn1_prospectus lines 1193-1199;4572-4573,"2025 prospectus, lines 1193-1199;4572-4573",2015 no-government-financing language and not in banking-regulator platform list,land preparation government authorization infrastructure保障房 fiscal compensation and historical委托代建 assets,Nominal exit
expand_sd_jinan_chengjian,Jinan,doc_sd_jn_chengjian_2026_scp4_007 lines 954-960;1062-1068,"2026 SCP disclosure, lines 954-960;1062-1068",Prospectus states that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same compliance section reports that the statement was confirmed with the Jinan Finance Bureau.,"Formal no-government-financing language coexists with continuing engineering construction, land preparation, and delegated infrastructure-construction functions. The issuer discloses PPP and BT or entrusted-construction arrangements, a historical project placed under hidden-debt management and resolved, government receivables, land injected by public authorities, and current Jinan Start-up Area infrastructure projects operated through entrusted construction and settlement with public-sector counterparties.",Nominal exit
pilot_gd_003,Foshan,doc_gd_fs_jiantou_2025_mtn_prospectus lines 5102-5105;5137-5140,"2025 prospectus, lines 5102-5105;5137-5140",Not in CBIRC local financing platform directory as of 2018,SASAC-entrusted land preparation and fiscally settled entrusted-construction projects,Functional transfer
