case_id,province,city,control_city,platform,exit_type,label_source,source_coverage_score,source_doc_types,platform_administrative_level,platform_administrative_level_source,platform_administrative_level_status,platform_scope_notes
pilot_sn_xian_hightech,Shaanxi,Xian,Xi'an,西安高新控股有限公司,nominal_exit,human_gold_standard,4,issuance_plan;legal_opinion;rating_report;financial_report;prospectus;financial_statement,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_gd_001,Guangdong,Guangzhou,Guangzhou,广州市城市建设投资集团有限公司,substantive_exit,human_gold_standard,4,prospectus;rating_report;company_announcement,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_zj_001,Zhejiang,Hangzhou,Hangzhou,杭州市城市建设投资集团有限公司,functional_transfer,human_gold_standard,4,prospectus;rating_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_sc_001,Sichuan,Chengdu,Chengdu,成都城建投资管理集团有限责任公司,nominal_exit,human_gold_standard,3,prospectus,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
pilot_hn_002,Hunan,Zhuzhou,Zhuzhou,株洲市国有资产投资控股集团有限公司,nominal_exit,human_gold_standard,4,financial_statement;financial_report;prospectus;legal_opinion;issuance_plan,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_zj_002,Zhejiang,Ningbo,Ningbo,宁波开发投资集团有限公司,substantive_exit,human_gold_standard,3,prospectus,,,to_code_from_source_packet,"Review ownership, controller, and business-scope sections in the source packet."
pilot_zj_003,Zhejiang,Wenzhou,Wenzhou,温州市名城建设投资集团有限公司,functional_transfer,human_gold_standard,3,prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_js_004,Jiangsu,Xuzhou,Xuzhou,徐州市新盛投资控股集团有限公司,nominal_exit,human_gold_standard,4,prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_hn_004,Hunan,Hengyang,Hengyang,衡阳市城市建设投资有限公司,nominal_exit,human_gold_standard,4,prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_sd_001,Shandong,Jinan,Jinan,济南城市投资集团有限公司,nominal_exit,human_gold_standard,4,prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_js_003,Jiangsu,Yancheng,Yancheng,盐城市城市资产投资集团有限公司,nominal_exit,human_gold_standard,4,prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_gd_003,Guangdong,Foshan,Foshan,佛山市建设发展集团有限公司,functional_transfer,human_gold_standard,4,prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_js_002,Jiangsu,Suzhou,Suzhou,苏州城市建设投资发展集团有限公司,nominal_exit,human_gold_standard,4,financial_report;commitment_letter;issuance_plan;financial_statement;legal_opinion;prospectus,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_sd_002,Shandong,Qingdao,Qingdao,青岛城市建设投资(集团)有限责任公司,nominal_exit,human_gold_standard,4,prospectus;financial_statement;financial_report;legal_opinion;issuance_plan,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
pilot_sc_003,Sichuan,Luzhou,Luzhou,泸州市兴泸投资集团有限公司,nominal_exit,human_gold_standard,4,legal_opinion;financial_report;rating_report;financial_statement;prospectus;issuance_plan;prospectus_summary;issuer_statement;regulatory_approval,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_sd_jinan_chengjian,Shandong,Jinan,Jinan,济南城市建设集团有限公司,nominal_exit,human_gold_standard,4,issuance_plan;issuer_commitment;financial_report;legal_opinion;financial_statement;prospectus;bookrunner_commitment,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_fj_fuzhou_chengtou,Fujian,Fuzhou,Fuzhou,福州城市建设投资集团有限公司,functional_transfer,human_gold_standard,4,legal_opinion;financial_report;issuance_plan;prospectus;bookrunner_commitment;issuer_commitment;financial_statement;rating_report,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_xj_urumqi_chengtou,Xinjiang,Urumqi,Urumqi,乌鲁木齐城市建设投资(集团)有限公司,nominal_exit,human_gold_standard,4,issuer_commitment;financial_report;prospectus;legal_opinion;rating_report;bookrunner_commitment;financial_statement,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_zj_yuyao_chengtou,Zhejiang,Yuyao,Ningbo,余姚市城市建设投资发展有限公司,nominal_exit,human_gold_standard,4,prospectus;financial_statement;accounting_opinion;rating_report;annual_report;legal_opinion;issuance_plan,district_or_county_level,rule_based_from_city_prefecture_mismatch,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_js_taizhou_jindong,Jiangsu,Taizhou,Taizhou,泰州市金东城市建设投资集团有限公司,functional_transfer,human_gold_standard,4,financial_report;prospectus;legal_opinion;issuance_plan;financial_statement,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_hlj_harbin_chengtou,Heilongjiang,Harbin,Harbin,哈尔滨市城市建设投资集团有限公司,nominal_exit,human_gold_standard,4,financial_report;prospectus;financial_statement;legal_opinion;issuance_plan,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
expand_hb_xiaogan_chengtou,Hubei,Xiaogan,Xiaogan,孝感市城市建设投资公司,functional_transfer,human_gold_standard,4,legal_opinion;financial_statement;financial_report;prospectus;issuer_commitment;bookrunner_commitment,prefecture_or_municipal_level,rule_based_from_platform_name,rule_based_pending_human_check,"Review ownership, controller, and business-scope sections in the source packet."
