claim_id,section,claim_text,claim_type,importance,evidence_ids,source_ids,scope,limitations,status,last_verified_by,last_verified_at
C-001,introduction,"Official LGFV exit does not by itself identify institutional exit.",methodological,material,"EXP-20260830-001;gold-label-source-audit",,"assembled city-platform source packets","The assembled sample is not a probability sample and official national counts are not directly re-estimated.",supported,coordinator,2026-08-30
C-002,coding_strategy,"Four institutional fates can be coded transparently from formal-event and continued-function evidence.",methodological,material,"gold-label-source-audit",,"94 Codex source-packet working-reference cases pending independent human confirmation","No liquidation case is present; independent inter-coder agreement has not been reported.",partial,coordinator,2026-08-30
C-003,empirical_evidence,"The current reference file contains 2 substantive exits, 82 nominal exits, and 10 functional transfers.",descriptive,material,"EXP-20260830-001;EXP-20260830-013",,"94 assembled reference cases","The distribution is sample-specific and is not a national prevalence estimate.",supported,coordinator,2026-08-30
C-004,empirical_evidence,"Historical capacity is positively associated with movement away from nominal exit in simple specifications.",associational,material,"EXP-20260830-001;EXP-20260830-004;EXP-20260830-005;EXP-20260830-012;EXP-20260830-013",,"84 historically matched reference cases","The sample has 12 institutional-change events, is nonrepresentative, and both historical-only diagnostic intervals include zero; no stable adjusted or causal estimate is supported.",supported,coordinator,2026-08-30
C-005,empirical_evidence,"Historical capacity has a stable adjusted association with institutional change.",associational,material,"EXP-20260830-001;EXP-20260830-005;EXP-20260830-012",,"78 first-pass full-control rows","After rank repair, the design still has 12 events across eight columns, excludes six low-capacity nominal exits, and changes sign in 9 LPM and 11 Firth leave-one-out runs.",contradicted,coordinator,2026-08-30
C-006,llm_surrogates,"The current one-sided LLM rule is a high-precision screen for nominal exit.",methodological,material,"EXP-20260830-001;EXP-20260830-006",,"61 post-hoc overlapping surrogate-reference issuers","The observed overlap is selected after screening and does not identify target-population precision, recall, calibration, or multiclass error.",superseded,coordinator,2026-08-30
C-007,introduction,"The paper adapts established concerns about formal-substantive decoupling and LGFV transformation to an auditable case-level framework that combines a documented formal event with post-event tracing of the financing and project function and assigns one of four institutional fates.",novelty,material,"EXP-20260830-009","LTH-LGFV-01;LTH-LGFV-02;LTH-LGFV-03;LTH-LGFV-04;LTH-DEBT-01;LTH-COMP-01;LTH-COMP-02;LTH-TEXT-01;LTH-TEXT-03","verified English- and Chinese-language sources in a bounded search","The claim concerns the joint evidence design, not priority for the formal-substantive distinction, transformation typologies, codebooks, or human-machine validation; the search is not exhaustive.",partial,coordinator,2026-08-30
C-008,theory,"Historical elite density is associated with movement away from nominal exit in simple specifications. Qualitative evidence is consistent with three possible contemporary processes---fiscal absorption, bureaucratic coordination, and project or state-asset governance---but the present design does not identify these mechanisms or establish historical persistence.",theoretical,material,"EXP-20260830-010","LTH-CAP-01;LTH-CAP-02;LTH-CAP-03;LTH-CAP-04;LTH-CAP-05;LTH-CAP-06","historically matched working-reference cases and verified external process literature","The proxy also predicts modern education and social capital. Process indicators are not independently coded, temporally ordered, or separated from fiscal resources, province, and document availability.",partial,coordinator,2026-08-30
C-009,llm_surrogates,"The one-sided nominal screen matches the reference nominal label for 61 of 61 post-hoc overlap issuers.",descriptive,material,"EXP-20260830-006;EXP-20260830-013",,"61 post-hoc overlapping surrogate-reference issuers","This is selected-overlap concordance, not a probability-sample estimate of precision. Recall, calibration, four-category error, and sampling error are unidentified.",supported,coordinator,2026-08-30
C-010,measurement_validation,"On 10 September 2026 the author reported that all 94 existing reference labels had been checked by a human and required no revisions.",descriptive,material,"HC-20260910-001;EXP-20260910-003",,"Exact 94-case reference snapshot identified by the confirmation report; updates the pending-check scope of C-002","Author-reported completion; reviewer identity and actual review date are unreported. No blinded independent decisions or signatures were supplied; no intercoder statistic or probability-validation claim follows.",supported,author_report_recorded_by_coordinator,2026-09-10
C-011,measurement_validation,"The source-verified candidate validation frame contains 67 eligible issuer units: 57 screened positive and 10 without a directly documented formal event; the existing allocation proposes a census within this assembled frame.",descriptive,material,"EXP-20260910-002;EXP-20260910-007",,"133 reviewed issuers reduced to 67 city-platform-scope candidates; 24 proposed strata","Scope eligibility does not establish exit-case eligibility. The original proposal remains preserved; a census requires actual human outcomes and does not identify national prevalence.",supported,coordinator,2026-09-10
C-012,inference,"A finite-frame residual-correction estimator with fixed predictions and known positive selection probabilities recovers the declared frame mean and fixed-X linear projection in design expectation.",methodological,material,"EXP-20260910-005;EXP-20260910-007","egami2023dsl","Prespecified finite analytical frame with complete selected responses and fixed auxiliary predictions","The manuscript derives a finite-population special case; implementation is subject to exhaustive verification before acceptance. No current-frame numerical DSL result or cross-fitting guarantee is asserted.",partial,coordinator,2026-09-10
C-013,measurement_validation,"Conditional on the 61 linked human-checked reference outcomes being correct and applicable to their corresponding screen issuer/event, nominal membership among the 158 documentary-screen issuers lies between 38.61 and 100 percent.",descriptive,material,"EXP-20260910-006",,"Finite 158-issuer documentary screen; 61 positive linked reference outcomes and 97 unknown outcomes","These are identification bounds rather than confidence intervals. Event/time applicability is an assumption; without it the bounds are 0 to 100 percent. Scope exclusions and no-event screens are not negative exit outcomes.",supported,coordinator,2026-09-10
C-014,measurement_validation,"The 67-unit collection package has no exact issuer/event match to the 94-case human-check report and contains no completed human outcome records.",descriptive,material,"EXP-20260910-004;EXP-20260910-007",,"Current source-linked collection package; 6298 unit-reference comparisons","The 33 historical-capacity links are geographic covariate matches rather than reusable outcome labels. The human-check report does not cover these new units; actual validation remains incomplete.",supported,coordinator,2026-09-10
C-015,inference,"The implemented finite-frame mean and fixed-X projection reproduce the declared design expectations and supported covariance formulas across 717 exhaustive artificial population-selection combinations.",methodological,material,"EXP-20260910-005;EXP-20260910-007",,"Synthetic verification of the fixed-prediction special case described in C-012","Mathematical and software verification is complete for the tested contract; actual LGFV validation responses remain absent. Neither external-record authenticity nor a general cross-fitted DSL guarantee follows from passing tests.",supported,coordinator,2026-09-10
