sequence,validation_unit_id,issuer_name,province,city,geography_status,administrative_level,owner_level,scope_disposition,scope_reason_code,audit_note
1,mv_376b84e910d7,上海静安置业(集团)有限公司,上海市,上海市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer public-housing and urban-renewal functions satisfy both scope elements.
2,mv_929687b00137,东莞市交通投资控股集团有限公司,广东省,东莞市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer transport-infrastructure investment and construction role satisfy both scope elements.
3,mv_2ebc0f045324,中交路桥建设有限公司,北京市,北京市,source_supported_unique,central,central_public,ineligible,excluded_central_public,The issuer is controlled through a central SOE rather than a local government platform.
4,mv_461cc47ac7bb,中国交通建设股份有限公司,北京市,北京市,source_supported_unique,central,central_public,ineligible,excluded_central_public,The issuer is a centrally controlled national construction group.
5,mv_588a5cfdd852,中国平煤神马控股集团有限公司,河南省,平顶山市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled coal and chemical industrial group without a city-platform ownership tie.
6,mv_2643f3f32c31,中国核工业华兴建设有限公司,江苏省,南京市,source_supported_unique,central,central_public,ineligible,excluded_central_public,The issuer is a centrally controlled construction company.
7,mv_32814f16ef6f,中煤矿山建设集团有限责任公司,安徽省,合肥市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is province controlled and expressly states that it is not a local-government financing platform.
8,mv_3707ecbfb1f2,临沂投资发展集团有限公司,山东省,临沂市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city SASAC profile identifies the issuer as a municipal investment and financing platform for public infrastructure and urban development.
9,mv_e2b7b3bbc9d5,义乌中国小商品城控股集团有限公司,浙江省,义乌市,source_supported_unique,county,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The local controller is documented but the issuer describes market and commercial operations and disclaims platform functions.
10,mv_46f0d1b309fc,乌鲁木齐交通旅游投资(集团)有限公司,新疆维吾尔自治区,乌鲁木齐市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer financing and construction role for transport and tourism public projects satisfy both scope elements.
11,mv_53174ffb0af6,云南机场集团有限责任公司,云南省,昆明市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled airport operator rather than a city platform.
12,mv_cf9e6f71a930,伊犁哈萨克自治州财通国有资产经营有限责任公司,新疆维吾尔自治区,伊犁哈萨克自治州,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The prefectural controller and issuer infrastructure investment and construction role satisfy both scope elements.
13,mv_a604d5021839,保利久联控股集团有限责任公司,贵州省,贵阳市,source_supported_unique,central,central_public,ineligible,excluded_central_public,The issuer is centrally controlled and operates industrial explosives and construction businesses.
14,mv_098975f6dda7,六盘水市开发投资有限公司,贵州省,六盘水市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city-linked issuer disclosure documents local infrastructure housing-project and investment-financing functions.
15,mv_b6a587c44bcf,北京亦庄国际投资发展有限公司,北京市,北京市,source_supported_unique,development_zone,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The development-zone owner is documented but the issuer is an industrial and equity-investment platform while a separate group performs the zone infrastructure and land-development role.
16,mv_0590d5f9c3fa,北京市政建设集团有限责任公司,北京市,北京市,source_supported_unique,municipality,municipality_public,ineligible,excluded_commercial_no_platform_role,The municipal owner is documented but the issuer acts as a construction contractor rather than a financing or development platform.
17,mv_dd32227a7cc7,北京市海淀区国有资本运营有限公司,北京市,北京市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer public-asset housing and project investment role satisfy both scope elements.
18,mv_2f9f77975978,北京市燃气集团有限责任公司,北京市,北京市,source_supported_unique,municipality,municipality_public,ineligible,excluded_commercial_no_platform_role,The municipal owner is documented but the issuer is a specialized gas utility operator without a platform-like role.
19,mv_bb6767462e60,北京电子控股有限责任公司,北京市,北京市,source_supported_unique,municipality,municipality_public,ineligible,excluded_commercial_no_platform_role,The municipal owner is documented but the issuer is an electronics industrial holding group without a platform-like role.
20,mv_b7aabd80bf01,北京首都国际机场股份有限公司,北京市,北京市,source_supported_unique,central,central_public,ineligible,excluded_central_public,The issuer is controlled through the central airport group and operates an airport business.
21,mv_29bec224b1af,北京首都旅游集团有限责任公司,北京市,北京市,source_supported_unique,municipality,municipality_public,ineligible,excluded_commercial_no_platform_role,The municipal owner is documented but the issuer is a tourism and hospitality group without a platform-like public-financing role.
22,mv_3c17f10ab84f,北控水务集团有限公司,北京市,北京市,source_supported_unique,municipality,municipality_public,ineligible,excluded_commercial_no_platform_role,The indirect municipal control does not convert the listed water operator into a city financing or development platform.
23,mv_17100b41e197,南京江宁交通建设集团有限公司,江苏省,南京市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer transport-infrastructure investment and construction role satisfy both scope elements.
24,mv_f26b7d84a6c5,南京江宁科学园发展集团有限公司,江苏省,南京市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The development-zone controller and issuer park infrastructure and development role satisfy both scope elements.
25,mv_4f02e2b3b4ef,南京江宁经济技术开发集团有限公司,江苏省,南京市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The development-zone controller and issuer infrastructure and land-development role satisfy both scope elements.
26,mv_48ea3687a4e1,南京溧水经济技术开发集团有限公司,江苏省,南京市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The development-zone controller and issuer park infrastructure and development role satisfy both scope elements.
27,mv_4f36112eaaff,南京牛首山文化旅游集团有限公司,江苏省,南京市,source_supported_unique,district,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The local ownership is documented but the issuer is a specialized tourism operator and the disclosure states that it lacks land and infrastructure platform business.
28,mv_072dc57cd561,南京高淳国有资产经营控股集团有限公司,江苏省,南京市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer infrastructure and public-asset development role satisfy both scope elements.
29,mv_5e15d9346287,南通产业控股集团有限公司,江苏省,南通市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is an industrial holding group without a platform-like public-project role.
30,mv_aef21d6695b2,南通城市建设集团有限公司,江苏省,南通市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer urban infrastructure construction and financing role satisfy both scope elements.
31,mv_034a759e08bb,厦门夏商集团有限公司,福建省,厦门市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is a commercial supply-chain and retail group without a platform-like role.
32,mv_85b2849afad8,厦门金圆投资集团有限公司,福建省,厦门市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is a financial holding and investment group without a qualifying public-project role.
33,mv_dea7fe1c1704,台州市椒江区社会事业发展集团有限公司,浙江省,台州市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer social-infrastructure project investment and construction role satisfy both scope elements.
34,mv_c683a307d980,合肥北城建设投资(集团)有限公司,安徽省,合肥市,source_supported_unique,county,subprovincial_public,eligible,local_public_platform_role,The county controller and issuer infrastructure and urban-development role satisfy both scope elements.
35,mv_3134f5ad5182,吉安市井冈山开发区金庐陵经济发展有限公司,江西省,吉安市,source_supported_unique,development_zone,unknown,unresolved_after_search,unresolved_owner_level,The NDRC decision establishes issuer identity geography bond financing and a development-zone public project but does not establish the controlling owner level.
36,mv_56827a9bfe9b,四川华西集团有限公司,四川省,成都市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled construction group rather than a city platform.
37,mv_17e532a3b4ee,四川省乡村发展集团有限公司,四川省,成都市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is province controlled and lacks a city-platform ownership tie.
38,mv_667c8eece2e6,天津北辰经济技术开发区集团有限公司,天津市,天津市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The district development-zone controller and issuer infrastructure and park-development role satisfy both scope elements.
39,mv_989edd5e627b,天津国有资本投资运营有限公司,天津市,天津市,source_supported_unique,municipality,municipality_public,ineligible,excluded_commercial_no_platform_role,The municipal owner is documented but the issuer is a general state-capital operator without an issuer-specific city-platform role.
40,mv_c1765fa7ea29,天津市武清区国有资产经营投资有限公司,天津市,天津市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer infrastructure investment and public-asset development role satisfy both scope elements.
41,mv_e6fd4cae85c0,太仓娄城高新集团有限公司,江苏省,太仓市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The local high-tech-zone controller and issuer park infrastructure and development role satisfy both scope elements.
42,mv_678a404468ae,太原市龙城发展投资集团有限公司,山西省,太原市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer infrastructure investment and urban-development role satisfy both scope elements.
43,mv_7964f4b4fada,如皋市经济贸易开发有限公司,江苏省,如皋市,source_supported_unique,county,subprovincial_public,eligible,local_public_platform_role,The county-level controller and issuer infrastructure and development role satisfy both scope elements.
44,mv_006dcea75bdc,宁波市海曙广聚资产经营有限公司,浙江省,宁波市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer public-asset and infrastructure-development role satisfy both scope elements.
45,mv_976b6b4ba9e3,宁波市镇海投资有限公司,浙江省,宁波市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The district controller and issuer infrastructure investment and development role satisfy both scope elements.
46,mv_bf399debd218,宁波文旅会展集团有限公司,浙江省,宁波市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is a specialized tourism and convention operator without a platform-like role.
47,mv_039c3dde77ab,安徽省交通控股集团有限公司,安徽省,合肥市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a provincial transport group without a city-platform ownership tie.
48,mv_150f74fe31cf,安徽省宁国建设投资集团有限公司,安徽省,宁国市,source_supported_unique,county,subprovincial_public,eligible,local_public_platform_role,The county-level controller and issuer infrastructure investment and construction role satisfy both scope elements.
49,mv_e26edfa3bada,宜昌城发实业投资有限公司,湖北省,宜昌市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The local owner is documented but this industrial-investment subsidiary lacks an issuer-specific platform-like public-project role.
50,mv_8508178f07a5,山东泉汇产业发展有限公司,山东省,济南市,source_supported_unique,district,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The district owner is documented but the issuer is an industrial operator and the disclosure does not support a platform function.
51,mv_6c405c7c4748,山东金曰交通发展集团有限公司,山东省,济南市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is a road-construction contractor without a platform-like financing or development role.
52,mv_d0781141b04d,山东高速集团有限公司,山东省,济南市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled transport group without a city-platform ownership tie.
53,mv_a1ed5dac069a,山西交通控股集团有限公司,山西省,太原市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled transport group without a city-platform ownership tie.
54,mv_dc10a1d093cf,山西建设投资集团有限公司,山西省,太原市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled construction group rather than a city platform.
55,mv_ed36cca33747,山西路桥建设集团有限公司,山西省,太原市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled road-construction group without a city-platform ownership tie.
56,mv_7f37b3c6b3b7,常州市城市建设(集团)有限公司,江苏省,常州市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer urban infrastructure investment and construction role satisfy both scope elements.
57,mv_a84c738293b5,广东省铁路建设投资集团有限公司,广东省,广州市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled railway investment group without a city-platform ownership tie.
58,mv_8c56f4ed9aa0,广州交通投资集团有限公司,广东省,广州市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer transport-infrastructure investment and construction role satisfy both scope elements.
59,mv_a52ab8f6ce4b,广州产业投资控股集团有限公司,广东省,广州市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is an industrial investment holding group without a platform-like public-project role.
60,mv_0e2553f13e14,广州越秀集团股份有限公司,广东省,广州市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city ownership is documented but the issuer is a diversified commercial holding group without a qualifying platform role.
61,mv_312664814132,广西交通投资集团有限公司,广西壮族自治区,南宁市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a region-controlled transport group without a city-platform ownership tie.
62,mv_ce9b4a51f177,广西国控资本运营集团有限责任公司,广西壮族自治区,南宁市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a region-controlled state-capital operator without a city-platform ownership tie.
63,mv_337bebdb56b3,广西投资集团金融控股有限公司,广西壮族自治区,南宁市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a region-controlled financial holding company without a city-platform ownership tie.
64,mv_b08ea3f69614,成都产业投资集团有限公司,四川省,成都市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is an industrial and equity-investment platform and the packet does not establish an issuer-level urban infrastructure or quasi-fiscal project role.
65,mv_3b9c491fbf5a,扬州建工控股集团有限公司,江苏省,扬州市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is a construction contractor rather than a financing or development platform.
66,mv_e4cd1cefc02b,扬州新材料投资集团有限公司,江苏省,扬州市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The local controller and issuer chemical-park infrastructure investment and construction role satisfy both scope elements.
67,mv_6bdc75acec44,振石控股集团有限公司,浙江省,桐乡市,source_supported_unique,private,private_or_natural_person,ineligible,excluded_private,The issuer is privately controlled.
68,mv_b2459f067a2b,新乡投资集团有限公司,河南省,新乡市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer urban infrastructure land-development and financing role satisfy both scope elements.
69,mv_81aed909eaf3,新疆水利发展投资(集团)有限公司,新疆维吾尔自治区,乌鲁木齐市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is region controlled without a city-platform ownership tie.
70,mv_fa27aec421d1,无锡华光环保能源集团股份有限公司,江苏省,无锡市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city ownership is documented but the listed issuer is a specialized energy and environmental operator without a platform-like role.
71,mv_3d109f7a463f,无锡市国联发展(集团)有限公司,江苏省,无锡市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is a financial and state-capital holding group without a qualifying public-project role.
72,mv_974b8c867433,无锡市高新区创业投资控股集团有限公司,江苏省,无锡市,source_supported_unique,development_zone,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The development-zone owner is documented but the issuer is a venture-capital group without a platform-like public-project role.
73,mv_bcd266fddc3d,昆明市土地开发投资经营有限责任公司,云南省,昆明市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer land-development infrastructure and financing role satisfy both scope elements.
74,mv_71e01e61d2da,晋江市国有资本投资运营有限责任公司,福建省,晋江市,source_supported_unique,county,subprovincial_public,eligible,local_public_platform_role,The county-level controller and issuer economic-construction investment and public-asset role satisfy both scope elements.
75,mv_7c33183335cb,武汉光谷金融控股集团有限公司,湖北省,武汉市,source_supported_unique,development_zone,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The development-zone owner is documented but the issuer is a financial-services and venture-investment group without a platform-like public-project role.
76,mv_982774a1383c,江苏交通控股有限公司,江苏省,南京市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled transport group without a city-platform ownership tie.
77,mv_5215e4bcae63,江苏省农垦集团有限公司,江苏省,南京市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled agricultural group without a city-platform ownership tie.
78,mv_457ad56917e5,江苏省国信集团有限公司,江苏省,南京市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled investment group without a city-platform ownership tie.
79,mv_fd4d75a3cfd7,江苏省广播电视集团有限公司,江苏省,南京市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled broadcasting group without a city-platform ownership tie.
80,mv_c9485f13755e,江苏龙城国有控股集团有限公司,江苏省,常州市,source_supported_unique,district,subprovincial_public,eligible,local_public_platform_role,The local controller and issuer urban infrastructure and public-asset development role satisfy both scope elements.
81,mv_a6965306ca00,江西省交通投资集团有限责任公司,江西省,南昌市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled transport group without a city-platform ownership tie.
82,mv_2d4fb850c8e8,江西省国有资本运营控股集团有限公司,江西省,南昌市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled state-capital operator without a city-platform ownership tie.
83,mv_31dd4fd107b5,河南交通投资集团有限公司,河南省,郑州市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled transport group without a city-platform ownership tie.
84,mv_bc03f7b73c72,河南创新投资集团有限公司,河南省,郑州市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled innovation-investment group without a city-platform ownership tie.
85,mv_9dca36320cb2,泉州交通发展集团有限责任公司,福建省,泉州市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer transport-infrastructure investment and construction role satisfy both scope elements.
86,mv_5d511bd5ada9,浙江荣盛控股集团有限公司,浙江省,杭州市,source_supported_unique,private,private_or_natural_person,ineligible,excluded_private,The issuer is privately controlled.
87,mv_0ba8eaa09fa0,海南高速公路股份有限公司,海南省,海口市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The listed issuer is province controlled without a city-platform ownership tie.
88,mv_e94895dfa190,淮北市建投控股集团有限公司,安徽省,淮北市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer infrastructure investment and construction role satisfy both scope elements.
89,mv_69372ce07808,淮安市国有联合投资发展集团有限公司,江苏省,淮安市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer public investment infrastructure and asset-development role satisfy both scope elements.
90,mv_104c380a2e52,淮安市文化旅游集团股份有限公司,江苏省,淮安市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer land-development and urban public-project role satisfy both scope elements despite its tourism name.
91,mv_ed1f2e005d13,淮安新城投资开发集团有限公司,江苏省,淮安市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The local development-zone controller and issuer infrastructure and new-city development role satisfy both scope elements.
92,mv_cb6de4da7e0b,淮河能源控股集团有限责任公司,安徽省,淮南市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled energy group without a city-platform ownership tie.
93,mv_2547f5fbc2e2,深圳国际控股有限公司,广东省,深圳市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city ownership is documented but the listed issuer is a commercial logistics and toll-road holding group without a qualifying platform role.
94,mv_940b87861065,深圳市东阳光实业发展有限公司,广东省,东莞市,source_supported_unique,private,private_or_natural_person,ineligible,excluded_private,The issuer is privately controlled and operates industrial businesses.
95,mv_58bf202441a9,深圳市地铁集团有限公司,广东省,深圳市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer metro investment financing construction and operation role satisfy both scope elements.
96,mv_bbc98d5aa00c,深圳市特区建设发展集团有限公司,广东省,深圳市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city SASAC and issuer disclosures identify a municipal comprehensive investment-financing and infrastructure-development platform.
97,mv_83fa1cb2dc9e,温州市交通运输集团有限公司,浙江省,温州市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is a specialized public-transport operator without a financing or development platform role.
98,mv_bc74862def53,温州市工业与能源发展集团有限公司,浙江省,温州市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city owner is documented but the issuer is an industrial and energy holding group without a platform-like public-project role.
99,mv_4aa0191176be,湖北楚天智能交通股份有限公司,湖北省,武汉市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The listed issuer is province controlled without a city-platform ownership tie.
100,mv_d84cf8be0bd1,湖北能源集团股份有限公司,湖北省,武汉市,source_supported_unique,central,central_public,ineligible,excluded_central_public,The listed energy issuer is centrally controlled rather than a local-government platform.
101,mv_6773afeaec17,湖北荆门城建集团有限公司,湖北省,荆门市,source_supported_unique,prefecture,subprovincial_public,eligible,local_public_platform_role,The city controller and issuer infrastructure investment construction and urban-development role satisfy both scope elements.
102,mv_df87c57ef59b,湖南省高速公路集团有限公司,湖南省,长沙市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled expressway group without a city-platform ownership tie.
103,mv_0076d521190d,漳州市九龙江集团有限公司,福建省,漳州市,source_supported_unique,prefecture,subprovincial_public,unresolved_after_search,unresolved_platform_boundary,The city controller is documented but the source packet does not resolve whether the diversified industrial and capital role is platform-like for this frame.
104,mv_dda0f3c66afa,爱尔医疗投资集团有限公司,湖南省,长沙市,source_supported_unique,private,private_or_natural_person,ineligible,excluded_private,The issuer is privately controlled.
105,mv_c4af6b64ad69,珠海港控股集团有限公司,广东省,珠海市,source_supported_unique,prefecture,subprovincial_public,ineligible,excluded_commercial_no_platform_role,The city ownership is documented but the issuer is a specialized commercial port operator without a platform-like role.
106,mv_8587415ef74c,甘肃能源化工投资集团有限公司,甘肃省,兰州市,source_supported_unique,provincial,provincial_public,ineligible,excluded_provincial_public,The issuer is a province-controlled energy and chemical group without a city-platform ownership tie.
107,mv_14353a22e4cf,盐城东方投资开发集团有限公司,江苏省,盐城市,source_supported_unique,development_zone,subprovincial_public,eligible,local_public_platform_role,The development-zone controller and issuer infrastructure land-development and financing role satisfy both scope elements.
