pool_id,source_row_id,province,city,issuer_name,label_source,surrogate_status,screening_status,screening_label,exit_type,confidence,source_coverage_score,continued_function_evidence_score,usable_for_llm_screening,usable_for_exit_type_analysis,usable_for_validation_adjustment,formal_event_found,continued_function_found,missing_information,evidence_basis,needs_human_review
master_0001,pilot_js_002,Jiangsu,Suzhou,苏州城市建设投资发展集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,nominal_exit,nominal_exit,medium,4,,true,true,true,true,true,The current packet relies on issuer and legal-opinion disclosures from the same 2026 issuance page rather than an independent government or regulator exit-list document.,doc_js_sz_chengtou_2026_mtn1_009; doc_js_sz_chengtou_2026_mtn1_009;doc_js_sz_chengtou_2026_mtn1_006,false
master_0002,pilot_gd_001,Guangdong,Guangzhou,广州市城市建设投资集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,substantive_exit,substantive_exit,medium,4,,true,true,true,true,,This is a fiscal-substitution case rather than an exit-list case; final confidence should be raised only after collecting the original Guangzhou 2008 reform document or additional 2014 issuance materials.,doc_gd_gz_chengtou_2026_mtn4_004; doc_gd_gz_chengtou_2018_tracking_rating;doc_gd_gz_chengtou_2018_swap_plan,false
master_0003,pilot_gd_001_alt_metro,Guangdong,Guangzhou,广州地铁集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,nominal_exit,nominal_exit,medium,4,,true,true,true,true,true,This is a specialized metro infrastructure platform rather than a generic urban construction company. The formal event is based on prospectus and legal-opinion compliance language rather than an independently collected platform-list exit notice. The case is retained because the source packet shows a platform-like rail infrastructure finance function and provides a useful within-Guangzhou contrast to the city construction group.,doc_gd_gz_metro_2025_mtn_009; doc_gd_gz_metro_2025_mtn_006;doc_gd_gz_metro_2025_mtn_008,false
master_0004,pilot_zj_002,Zhejiang,Ningbo,宁波开发投资集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,substantive_exit,substantive_exit,medium,3,,true,true,true,true,,Confidence should rise only if an independent Ningbo or regulator source confirms the platform-list status.,doc_zj_nb_kaitou_2026_mtn4_prospectus; doc_zj_nb_kaitou_2026_mtn4_prospectus,false
master_0005,pilot_zj_001,Zhejiang,Hangzhou,杭州市城市建设投资集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,functional_transfer,functional_transfer,medium,4,,true,true,true,true,true,This is best interpreted as functional consolidation within the functional-transfer family; confidence should be raised only after collecting the underlying Hangzhou SASAC reorganization approvals and Qiantou debt-succession announcements.,doc_zj_hz_chengtou_2024_mtn1_prospectus; doc_zj_hz_chengtou_2024_rating,false
master_0006,pilot_sd_001,Shandong,Jinan,济南城市投资集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,nominal_exit,nominal_exit,medium,4,,true,true,true,true,true,The non-platform-list claim is as of issuer disclosure; an original list document has not been collected.,doc_sd_jn_chengtou_2025_mtn1_prospectus; doc_sd_jn_chengtou_2025_mtn1_prospectus,false
master_0007,expand_sd_jinan_chengjian,Shandong,Jinan,济南城市建设集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,nominal_exit,nominal_exit,medium,4,,true,true,true,true,true,No independent regulator or local government platform-list exit document has been collected. The label relies on issuer prospectus compliance language and should remain medium confidence until a list-level exit source is found.,doc_sd_jn_chengjian_2026_scp4_007; doc_sd_jn_chengjian_2026_scp4_007,false
master_0008,expand_fj_fuzhou_chengtou,Fujian,Fuzhou,福州城市建设投资集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,functional_transfer,functional_transfer,medium,4,,true,true,true,true,true,No independent platform-list exit document has been collected. Historical-capacity metrics for this added Fuzhou target still need to be merged into the candidate capacity file.,doc_fj_fz_chengtou_2026_scp2_005; doc_fj_fz_chengtou_2026_scp2_005;doc_fj_fz_chengtou_2026_scp2_009,false
master_0009,expand_xj_urumqi_chengtou,Xinjiang,Urumqi,乌鲁木齐城市建设投资(集团)有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,nominal_exit,nominal_exit,medium,4,,true,true,true,true,true,No independent platform-list exit document has been collected. Historical-capacity metrics for this added Urumqi target still need to be merged into the candidate capacity file.,doc_xj_wlmq_chengtou_2026_mtn2_003; doc_xj_wlmq_chengtou_2026_mtn2_003;doc_xj_wlmq_chengtou_2026_mtn2_006,false
master_0010,pilot_js_001,Jiangsu,Nanjing,,codex_surrogate,unresolved,source_packet_missing,source_missing,,low,0,0,false,false,false,false,,No usable source text or source notes have been collected for this candidate.,,true
master_0011,pilot_js_001_alt_metro,Jiangsu,Nanjing,南京地铁集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,nominal_exit,nominal_exit,medium,4,,true,true,true,true,true,This is a specialized metro infrastructure platform rather than a generic urban construction company. The formal event is based on prospectus and legal-opinion compliance language rather than an independently collected platform-list exit notice. The case is retained because the source packet shows a platform-like rail infrastructure finance function and provides a useful high-capacity comparison with Guangzhou Metro and Nanjing Transportation Construction Investment.,doc_js_nj_metro_2025_mtn2_004; doc_js_nj_metro_2025_mtn2_004;doc_js_nj_metro_2025_mtn2_002,false
master_0012,pilot_gd_003,Guangdong,Foshan,佛山市建设发展集团有限公司,human_gold_standard,not_surrogate,gold_standard_exit_type,functional_transfer,functional_transfer,medium,4,,true,true,true,true,true,Use as a high-capacity formalization case unless direct former-platform evidence is found.,doc_gd_fs_jiantou_2025_mtn_prospectus; doc_gd_fs_jiantou_2025_mtn_prospectus,false
master_0013,pilot_gz_001,Guizhou,Guiyang,,codex_surrogate,unresolved,source_packet_missing,source_missing,,low,0,0,false,false,false,false,,No usable source text or source notes have been collected for this candidate.,,true
master_0014,pilot_gz_001_alt_chengfa,Guizhou,Guiyang,贵阳市城市发展投资集团股份有限公司,codex_surrogate,unresolved,llm_screened_no_direct_formal_event,no_direct_formal_event_observed,,low,1,0,true,false,true,false,false,"Usable source text exists, but Codex did not find a direct formal exit, compliance, transfer, or liquidation event.",ChinaBond query returned 1 bond-level record; useful for identifying issuer and tracing prospectus or rating documents,true
master_0015,pilot_gz_001_alt_rail,Guizhou,Guiyang,贵阳市交通运营集团有限公司,codex_surrogate,unresolved,llm_screened_no_direct_formal_event,no_direct_formal_event_observed,,low,1,0,true,false,true,false,false,"Usable source text exists, but Codex did not find a direct formal exit, compliance, transfer, or liquidation event.",ChinaBond query returned 1 bond-level record; useful for identifying issuer and tracing prospectus or rating documents,true
master_0016,pilot_hn_001,Hunan,Changsha,,codex_surrogate,unresolved,source_packet_missing,source_missing,,low,0,0,false,false,false,false,,No usable source text or source notes have been collected for this candidate.,,true
