pool_id,source_row_id,province,city,issuer_name,validation_status,label_source,surrogate_status,formal_event_found,formal_event_summary,continued_function_found,continued_function_summary,exit_type,confidence,source_coverage_score,continued_function_evidence_score,alternative_label,missing_information,classification_rationale,evidence_basis,needs_human_review,labeler
master_0001,pilot_js_002,Jiangsu,Suzhou,苏州城市建设投资发展集团有限公司,human_validated,human_gold_standard,not_surrogate,true,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,true,"Formal no-government-financing language coexists with continuing evidence that the same issuer remains Suzhou's main urban infrastructure and public-utility investment construction and operation body, is described as responsible for project funding and debt repayment, and holds delegated-project accounts, fiscal special funds, and government-directed stakes in new-town and logistics projects.",nominal_exit,medium,4,,substantive_exit,The current packet relies on issuer and legal-opinion disclosures from the same 2026 issuance page rather than an independent government or regulator exit-list document.,"Formal no-government-financing language coexists with continuing evidence that the same issuer remains Suzhou's main urban infrastructure and public-utility investment construction and operation body, is described as responsible for project funding and debt repayment, and holds delegated-project accounts, fiscal special funds, and government-directed stakes in new-town and logistics projects.",doc_js_sz_chengtou_2026_mtn1_009; doc_js_sz_chengtou_2026_mtn1_009;doc_js_sz_chengtou_2026_mtn1_006,false,human
master_0002,pilot_gd_001,Guangdong,Guangzhou,广州市城市建设投资集团有限公司,human_validated,human_gold_standard,not_surrogate,true,Issuer and rating disclosures state that since 2014 the company no longer participated in new government-project investment-financing and shifted to fiscal-funded entrusted project management.,,The company moved away from new government-project investment-financing toward budget-funded project management; old and current disclosures both state the post-2014 entrusted-management model and the 2018 announcement shows part of the 2014 MTN being recognized as government-repayment-responsibility debt and included in the fiscal budget for replacement.,substantive_exit,medium,4,,nominal_exit,This is a fiscal-substitution case rather than an exit-list case; final confidence should be raised only after collecting the original Guangzhou 2008 reform document or additional 2014 issuance materials.,The company moved away from new government-project investment-financing toward budget-funded project management; old and current disclosures both state the post-2014 entrusted-management model and the 2018 announcement shows part of the 2014 MTN being recognized as government-repayment-responsibility debt and included in the fiscal budget for replacement.,doc_gd_gz_chengtou_2026_mtn4_004; doc_gd_gz_chengtou_2018_tracking_rating;doc_gd_gz_chengtou_2018_swap_plan,false,human
master_0003,pilot_gd_001_alt_metro,Guangdong,Guangzhou,广州地铁集团有限公司,human_validated,human_gold_standard,not_surrogate,true,"The 2025 base prospectus states, after consultation with the Guangzhou Finance Bureau, that the issuer's operations are compliant, that the issuance will not create hidden local-government debt, and that the company does not undertake government financing functions after January 1 2015.",true,"Formal no-government-financing and no-hidden-debt language coexists with continuing evidence that Guangzhou Metro remains the city's sole urban rail construction and operation body and continues to undertake rail transit investment financing construction and operation. Construction funds come from municipal and district fiscal contributions plus company debt financing, and the issuer receives large fiscal funds, operating subsidies, land-reserve proceeds, capital injections, and government support. Official compliance therefore does not amount to functional disappearance of the rail-infrastructure finance role.",nominal_exit,medium,4,,substantive_exit,This is a specialized metro infrastructure platform rather than a generic urban construction company. The formal event is based on prospectus and legal-opinion compliance language rather than an independently collected platform-list exit notice. The case is retained because the source packet shows a platform-like rail infrastructure finance function and provides a useful within-Guangzhou contrast to the city construction group.,"Formal no-government-financing and no-hidden-debt language coexists with continuing evidence that Guangzhou Metro remains the city's sole urban rail construction and operation body and continues to undertake rail transit investment financing construction and operation. Construction funds come from municipal and district fiscal contributions plus company debt financing, and the issuer receives large fiscal funds, operating subsidies, land-reserve proceeds, capital injections, and government support. Official compliance therefore does not amount to functional disappearance of the rail-infrastructure finance role.",doc_gd_gz_metro_2025_mtn_009; doc_gd_gz_metro_2025_mtn_006;doc_gd_gz_metro_2025_mtn_008,false,human
master_0004,pilot_zj_002,Zhejiang,Ningbo,宁波开发投资集团有限公司,human_validated,human_gold_standard,not_surrogate,true,Issuer prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same compliance section reports no PPP government investment fund BT repurchase land preparation government purchase service or advance financing for government projects.,,The no-government-financing statement is paired with unusually strong negative evidence on core platform functions: no PPP government investment fund BT project repurchase land-preparation business government purchase service or government-project advance financing. The case is therefore coded as substantive exit rather than nominal exit.,substantive_exit,medium,3,,nominal_exit,Confidence should rise only if an independent Ningbo or regulator source confirms the platform-list status.,The no-government-financing statement is paired with unusually strong negative evidence on core platform functions: no PPP government investment fund BT project repurchase land-preparation business government purchase service or government-project advance financing. The case is therefore coded as substantive exit rather than nominal exit.,doc_zj_nb_kaitou_2026_mtn4_prospectus; doc_zj_nb_kaitou_2026_mtn4_prospectus,false,human
master_0005,pilot_zj_001,Zhejiang,Hangzhou,杭州市城市建设投资集团有限公司,human_validated,human_gold_standard,not_surrogate,true,Issuer disclosures state that Hangzhou City Investment and Qiantou Group were integrated into a new city-investment group and that Anju Group was created as a housing-security investment construction and operation platform.,true,Local public investment and project functions did not disappear but were consolidated into an enlarged Hangzhou City Investment system through Qiantou Group equity transfer Qiantou debt succession and the creation of Anju Group; rating evidence shows continuing infrastructure public-utility代建 land-development and PPP functions.,functional_transfer,medium,4,,substantive_exit,This is best interpreted as functional consolidation within the functional-transfer family; confidence should be raised only after collecting the underlying Hangzhou SASAC reorganization approvals and Qiantou debt-succession announcements.,Local public investment and project functions did not disappear but were consolidated into an enlarged Hangzhou City Investment system through Qiantou Group equity transfer Qiantou debt succession and the creation of Anju Group; rating evidence shows continuing infrastructure public-utility代建 land-development and PPP functions.,doc_zj_hz_chengtou_2024_mtn1_prospectus; doc_zj_hz_chengtou_2024_rating,false,human
master_0006,pilot_sd_001,Shandong,Jinan,济南城市投资集团有限公司,human_validated,human_gold_standard,not_surrogate,true,Prospectus states that the issuer does not undertake government financing functions after 2015 and is not in the banking-regulator financing-platform list.,true,No-government-financing and non-platform-list language coexists with land development and preparation infrastructure construction affordable-housing work government委托 authorization fiscal compensation and large historical entrusted-construction assets with unresolved government repayment coordination.,nominal_exit,medium,4,,functional_transfer,The non-platform-list claim is as of issuer disclosure; an original list document has not been collected.,No-government-financing and non-platform-list language coexists with land development and preparation infrastructure construction affordable-housing work government委托 authorization fiscal compensation and large historical entrusted-construction assets with unresolved government repayment coordination.,doc_sd_jn_chengtou_2025_mtn1_prospectus; doc_sd_jn_chengtou_2025_mtn1_prospectus,false,human
master_0007,expand_sd_jinan_chengjian,Shandong,Jinan,济南城市建设集团有限公司,human_validated,human_gold_standard,not_surrogate,true,Prospectus states that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same compliance section reports that the statement was confirmed with the Jinan Finance Bureau.,true,"Formal no-government-financing language coexists with continuing engineering construction, land preparation, and delegated infrastructure-construction functions. The issuer discloses PPP and BT or entrusted-construction arrangements, a historical project placed under hidden-debt management and resolved, government receivables, land injected by public authorities, and current Jinan Start-up Area infrastructure projects operated through entrusted construction and settlement with public-sector counterparties.",nominal_exit,medium,4,,functional_transfer,No independent regulator or local government platform-list exit document has been collected. The label relies on issuer prospectus compliance language and should remain medium confidence until a list-level exit source is found.,"Formal no-government-financing language coexists with continuing engineering construction, land preparation, and delegated infrastructure-construction functions. The issuer discloses PPP and BT or entrusted-construction arrangements, a historical project placed under hidden-debt management and resolved, government receivables, land injected by public authorities, and current Jinan Start-up Area infrastructure projects operated through entrusted construction and settlement with public-sector counterparties.",doc_sd_jn_chengjian_2026_scp4_007; doc_sd_jn_chengjian_2026_scp4_007,false,human
master_0008,expand_fj_fuzhou_chengtou,Fujian,Fuzhou,福州城市建设投资集团有限公司,human_validated,human_gold_standard,not_surrogate,true,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,true,"Formal no-government-financing language coexists with a major reorganization of public-project finance. The issuer remains a leading Fuzhou infrastructure, shantytown-renovation, affordable-housing, municipal代建, and area-development platform, but the prospectus documents that after 2011 municipal project funding shifted from issuer financing with fiscal repayment to full fiscal appropriation and management-fee settlement. PPP projects, government-purchase-service projects that were later adjusted, fiscal subsidies, government receivables, and rating evidence of continuing fiscal support all point to functional transfer rather than substantive disappearance.",functional_transfer,medium,4,,nominal_exit,No independent platform-list exit document has been collected. Historical-capacity metrics for this added Fuzhou target still need to be merged into the candidate capacity file.,"Formal no-government-financing language coexists with a major reorganization of public-project finance. The issuer remains a leading Fuzhou infrastructure, shantytown-renovation, affordable-housing, municipal代建, and area-development platform, but the prospectus documents that after 2011 municipal project funding shifted from issuer financing with fiscal repayment to full fiscal appropriation and management-fee settlement. PPP projects, government-purchase-service projects that were later adjusted, fiscal subsidies, government receivables, and rating evidence of continuing fiscal support all point to functional transfer rather than substantive disappearance.",doc_fj_fz_chengtou_2026_scp2_005; doc_fj_fz_chengtou_2026_scp2_005;doc_fj_fz_chengtou_2026_scp2_009,false,human
master_0009,expand_xj_urumqi_chengtou,Xinjiang,Urumqi,乌鲁木齐城市建设投资(集团)有限公司,human_validated,human_gold_standard,not_surrogate,true,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,true,"Formal no-government-financing language coexists with unusually strong evidence of continuing platform functions. The issuer is described as a former government financing platform, the only municipal infrastructure construction financing platform in Urumqi, and the city's most important urban development and state-asset operating body. It continues infrastructure, shantytown-renovation, PPP, government-purchase-service, public-utility, and fiscal-support functions, with large government receivables, fiscal subsidies, government-paid service fees, and budgeted debt-resolution or repayment channels.",nominal_exit,medium,4,,functional_transfer,No independent platform-list exit document has been collected. Historical-capacity metrics for this added Urumqi target still need to be merged into the candidate capacity file.,"Formal no-government-financing language coexists with unusually strong evidence of continuing platform functions. The issuer is described as a former government financing platform, the only municipal infrastructure construction financing platform in Urumqi, and the city's most important urban development and state-asset operating body. It continues infrastructure, shantytown-renovation, PPP, government-purchase-service, public-utility, and fiscal-support functions, with large government receivables, fiscal subsidies, government-paid service fees, and budgeted debt-resolution or repayment channels.",doc_xj_wlmq_chengtou_2026_mtn2_003; doc_xj_wlmq_chengtou_2026_mtn2_003;doc_xj_wlmq_chengtou_2026_mtn2_006,false,human
master_0010,pilot_js_001,Jiangsu,Nanjing,,not_validated,codex_surrogate,unresolved,false,,,,unclear,low,0,0,,No usable source text or source notes have been collected for this candidate.,The available screening record is insufficient for an exit-type label under the frozen codebook.,,true,Codex GPT-5; conservative source-packet screening
