component,available,denominator,use
Working-reference labels,94,191,Provisional outcome scale
Adjusted descriptive sample,191,191,Working-reference labels plus non-overlap surrogate nominal-exit screens
Historical capacity match,84,94,Working-reference descriptive patterns and current diagnostic regression
Current validated-model rows,84,94,Rows with working-reference labels and historical capacity
Full-controls regression rows,78,94,"Rows with working-reference labels, historical capacity, and contemporary controls"
Source coverage score,191,191,Bond disclosure quality and measurement-quality control
Debt pressure,78,191,"Contemporary alternative explanation, to be collected"
Land finance dependence,78,191,"Contemporary alternative explanation, to be collected"
Fiscal self-sufficiency,78,191,"Contemporary fiscal capacity, to be collected"
Platform administrative level,92,191,"Issuer-level hierarchy control, rule-based pre-codes pending human check"
