pool_id,pool_source,source_row_id,validation_status,case_pool_status,province,city,issuer_name,platform,source_doc_count,source_url,announcement_title,announcement_type,instrument_type,candidate_priority,historical_capacity_bin,debt_pressure_status,land_finance_dependence_status,llm_label_status,llm_label,llm_confidence,human_review_status,notes
master_0001,master_case_pool,pilot_js_002,human_validated,human_validated,Jiangsu,Suzhou,苏州城市建设投资发展集团有限公司,苏州城市建设投资发展集团有限公司,11,src_js_sz_002,,,,curated,high,not_collected,not_collected,gold_standard,,,human_validated,New validated case added in the June 30 expansion; strongest high historical-capacity nominal-exit contrast against Ningbo substantive exit and Guangzhou fiscal substitution.
master_0002,master_case_pool,pilot_gd_001,human_validated,human_validated,Guangdong,Guangzhou,广州市城市建设投资集团有限公司,广州市城市建设投资集团有限公司,4,src_gd_gz_004;src_gd_gz_005;src_gd_gz_006;src_gd_gz_007,,,,curated,high,not_collected,not_collected,gold_standard,,,human_validated,Use as second human-validated pilot label and contrast case against Xi'an Hi-tech.
master_0003,master_case_pool,pilot_gd_001_alt_metro,not_validated,llm_candidate_ready,Guangdong,Guangzhou,广州地铁集团有限公司,广州地铁集团有限公司,10,src_gd_gz_003,,,,curated,high,not_collected,not_collected,pending,,,not_validated,
master_0004,master_case_pool,pilot_zj_002,human_validated,human_validated,Zhejiang,Ningbo,宁波开发投资集团有限公司,宁波开发投资集团有限公司,1,src_zj_nb_001,,,,curated,high,not_collected,not_collected,gold_standard,,,human_validated,New validated case added in the June 28 expansion; useful as a high historical-capacity substantive-exit case.
master_0005,master_case_pool,pilot_zj_001,human_validated,human_validated,Zhejiang,Hangzhou,杭州市城市建设投资集团有限公司,杭州市城市建设投资集团有限公司,2,src_zj_hz_001,,,,curated,high,not_collected,not_collected,gold_standard,,,human_validated,Use as third human-validated pilot label to complete initial contrast among nominal exit substantive exit and functional transfer.
master_0006,master_case_pool,pilot_sd_001,human_validated,human_validated,Shandong,Jinan,济南城市投资集团有限公司,济南城市投资集团有限公司,1,src_sd_jn_001,,,,curated,high,not_collected,not_collected,gold_standard,,,human_validated,New high historical-capacity validated case with nominal-exit features.
master_0007,master_case_pool,expand_sd_jinan_chengjian,human_validated,human_validated,Shandong,Jinan,济南城市建设集团有限公司,济南城市建设集团有限公司,9,src_sd_jn_chengjian_001,,,,curated,high,not_collected,not_collected,gold_standard,,,human_validated,New same-city second-platform validated case for Jinan; useful for checking whether city-level capacity predicts platform-level institutional fate consistently.
master_0008,master_case_pool,expand_fj_fuzhou_chengtou,human_validated,human_validated,Fujian,Fuzhou,福州城市建设投资集团有限公司,福州城市建设投资集团有限公司,10,src_fj_fz_chengtou_001,,,,curated,low,not_collected,not_collected,gold_standard,,,human_validated,New Fujian provincial-capital validated case; useful as a formal fiscal-substitution contrast to nominal-exit cases.
master_0009,master_case_pool,expand_xj_urumqi_chengtou,human_validated,human_validated,Xinjiang,Urumqi,乌鲁木齐城市建设投资(集团)有限公司,乌鲁木齐城市建设投资(集团)有限公司,9,src_xj_wlmq_chengtou_001,,,,curated,low,not_collected,not_collected,gold_standard,,,human_validated,New Xinjiang western-capital validated case; useful as a low-capacity/high-fiscal-dependence nominal-exit comparison.
master_0010,master_case_pool,pilot_js_001,not_validated,candidate_not_started,Jiangsu,Nanjing,,,0,,,,,curated,high,not_collected,not_collected,pending,,,not_validated,
master_0011,master_case_pool,pilot_js_001_alt_metro,not_validated,llm_candidate_ready,Jiangsu,Nanjing,南京地铁集团有限公司,南京地铁集团有限公司,7,src_js_nj_002,,,,curated,high,not_collected,not_collected,pending,,,not_validated,
master_0012,master_case_pool,pilot_gd_003,human_validated,human_validated,Guangdong,Foshan,佛山市建设发展集团有限公司,佛山市建设发展集团有限公司,1,src_gd_fs_001,,,,curated,high,not_collected,not_collected,gold_standard,,,human_validated,New validated case added in the June 28 expansion; useful for high-capacity functional transfer.
master_0013,master_case_pool,pilot_gz_001,not_validated,candidate_not_started,Guizhou,Guiyang,,,0,,,,,curated,high,targeted_for_collection,not_collected,pending,,,not_validated,
master_0014,master_case_pool,pilot_gz_001_alt_chengfa,not_validated,source_started,Guizhou,Guiyang,贵阳市城市发展投资集团股份有限公司,贵阳市城市发展投资集团股份有限公司,0,,,,,curated,high,not_collected,not_collected,pending,,,not_validated,
master_0015,master_case_pool,pilot_gz_001_alt_rail,not_validated,source_started,Guizhou,Guiyang,贵阳市交通运营集团有限公司,贵阳市交通运营集团有限公司,0,,,,,curated,high,not_collected,not_collected,pending,,,not_validated,
master_0016,master_case_pool,pilot_hn_001,not_validated,candidate_not_started,Hunan,Changsha,,,0,,,,,curated,high,not_collected,not_collected,pending,,,not_validated,
master_0017,master_case_pool,pilot_sc_001,human_validated,human_validated,Sichuan,Chengdu,成都城建投资管理集团有限责任公司,成都城建投资管理集团有限责任公司,1,src_sc_cd_002,,,,curated,high,not_collected,not_collected,gold_standard,,,human_validated,Use as fourth human-validated pilot label and as a second nominal-exit case with stronger fiscal-compliance language than Xi'an.
master_0018,master_case_pool,pilot_sd_003,not_validated,candidate_not_started,Shandong,Weifang,,,0,,,,,curated,high,not_collected,not_collected,pending,,,not_validated,
master_0019,master_case_pool,pilot_sn_xian_hightech,human_validated,human_validated,Shaanxi,Xian,西安高新控股有限公司,西安高新控股有限公司,12,src_sn_xa_001;src_sn_xa_002,,,,curated,middle,not_collected,not_collected,gold_standard,,,human_validated,Use as first human-validated pilot label; keep searching for the 2012 government exit-list document before treating the exit event as directly government-confirmed.
master_0020,master_case_pool,pilot_zj_004,not_validated,candidate_not_started,Zhejiang,Jinhua,,,0,,,,,curated,middle,not_collected,not_collected,pending,,,not_validated,
master_0021,master_case_pool,pilot_zj_003,human_validated,human_validated,Zhejiang,Wenzhou,温州市名城建设投资集团有限公司,温州市名城建设投资集团有限公司,1,src_zj_wz_001,,,,curated,middle,not_collected,not_collected,gold_standard,,,human_validated,New validated case added in the June 28 expansion; helps separate issuer-level compliance from group-level public functions.
master_0022,master_case_pool,pilot_sc_004,not_validated,candidate_not_started,Sichuan,Nanchong,,,0,,,,,curated,middle,not_collected,not_collected,pending,,,not_validated,
master_0023,master_case_pool,pilot_hn_003,not_validated,candidate_not_started,Hunan,Yueyang,,,0,,,,,curated,middle,not_collected,not_collected,pending,,,not_validated,
