case_id,province,city,company_name,evidence_packet,historical_capacity_bin,elite_per_1000_sqkm,elite_density_percentile,validation_tier,exit_type_family,confidence,interpretation_variant,formal_exit_evidence,continued_function_evidence,fiscal_substitution_evidence,debt_stress_evidence,source_coverage_score,next_validation_need,analytic_role
pilot_gd_001,Guangdong,Guangzhou,Guangzhou City Construction Investment Group,coding/pilot_evidence_gz_chengtou.md,high,212.95,0.969,human_validated,substantive_exit,medium,formal_fiscal_substitution,2014 shift away from new government-project investment-financing,budget-funded project management and city construction functions remained,2018 debt replacement and formal budgetary funding channels,limited in available packet,4,collect underlying 2008 and 2014 reform documents,high-capacity substantive-exit contrast
pilot_zj_001,Zhejiang,Hangzhou,Hangzhou City Investment Group,coding/pilot_evidence_hz_chengtou.md,high,158.93,0.906,human_validated,functional_transfer,medium,functional_consolidation,2022 reorganization through Qiantou equity transfer and Anju creation,public project and debt functions continued inside enlarged city investment system,debt succession and asset transfer through formal reorganization,limited in available packet,4,collect SASAC and company approvals for reorganization,high-capacity functional-transfer contrast
pilot_sc_001,Sichuan,Chengdu,Chengdu City Construction Investment Management Group,coding/pilot_evidence_cd_chengtou.md,high,79.18,0.719,human_validated,nominal_exit,medium,compliance_language_with_legacy_financing,2015 no-government-financing language,continued infrastructure investment financing and fiscal-payment chains,local-debt replacement and government-bond pass-through evidence,moderate legacy debt pressure,3,collect independent platform-list exit document,high-capacity exception with nominal exit
pilot_sn_xian_hightech,Shaanxi,Xian,Xian Hi-tech Holding,coding/pilot_evidence_xian_hightech.md,middle,52.58,0.656,human_validated,nominal_exit,high,official_exit_with_functional_continuity,2012 issuer-disclosed platform-list exit,continued BT entrusted construction infrastructure and repurchase by management committee,limited direct fiscal-substitution evidence,moderate project-payment exposure,4,collect original 2012 exit-list or regulatory document,external-validation nominal-exit case
pilot_js_002,Jiangsu,Suzhou,Suzhou City Investment Development Group,coding/pilot_evidence_suzhou_chengtou.md,high,314.34,1.000,strong_candidate,substantive_exit,medium,substantive_exit_or_formalized_city_operations,no-government-financing and no-new-hidden-debt language,city construction and urban operation functions continued under formalized structure,delegated project accounts and fiscal-linkage evidence,limited in available packet,3,find direct exit or transformation source,high-capacity candidate for substantive exit
pilot_js_001_alt_metro,Jiangsu,Nanjing,Nanjing Metro Group,coding/pilot_evidence_nanjing_metro.md,high,101.55,0.844,strong_candidate,substantive_exit,medium,formal_fiscal_substitution_candidate,no-government-financing and hidden-debt compliance language,rail-transit public function and large financing needs continued,budgetary support capital injections and regulated project structure,limited in available packet,3,decide whether metro SOE is comparable to core LGFV cases,high-capacity alternative platform
pilot_sd_002,Shandong,Qingdao,Qingdao City Construction Investment Group,coding/pilot_evidence_qingdao_chengtou.md,middle,18.12,0.438,strong_candidate,functional_transfer,medium,formal_fiscal_substitution_or_functional_transfer,post-2015 no-government-financing and market-oriented reform language,land development urban renewal delegated management and policy-loan functions continued,fiscal settlement and policy-loan channels,moderate repayment pressure in documents,3,find 2014 market-oriented reform or exit source,middle-capacity ambiguity case
pilot_hn_002,Hunan,Zhuzhou,Zhuzhou State-owned Assets Investment Holding Group,coding/pilot_evidence_zhuzhou_guotou.md,low,9.19,0.281,human_validated,nominal_exit,medium,official_exit_with_public_project_continuity,explicit March 2013 exit from platform list,land preparation major project and fiscal-settlement functions continued,service-contract and fiscal-settlement evidence,moderate debt and receivables pressure,4,collect original Hunan banking-regulator approval or 2013 exit-list document,low-capacity non-Guizhou nominal-exit case
pilot_sc_003,Sichuan,Luzhou,Luzhou Xinglu Investment Group,coding/pilot_evidence_luzhou_xinglu.md,low,11.36,0.312,strong_candidate,nominal_exit,medium,nominal_exit_or_functional_persistence,2018 and 2023 no-government-financing language but no direct exit-list source,2015 baseline plus 2018 and 2023 evidence shows infrastructure investment-financing entrusted construction fiscal receivables and project repurchase,project repurchase fiscal subsidies and financing-interest subsidies,strong project receivable and repayment pressure,4,search direct exit-list or debt-resolution source,low-capacity western-prefecture comparison
pilot_gd_002,Guangdong,Shenzhen,Shenzhen Special Zone Construction and Development Group,coding/pilot_evidence_shenzhen_tqjf.md,low,1.04,0.031,boundary_candidate,unclear,low,formal_fiscal_substitution_boundary,corporate-debt and hidden-debt compliance language,public infrastructure investor and funding-channel functions continued,strong contemporary fiscal channels and formal project companies,limited in available packet,3,do not treat as weak-capacity test until contemporary-capacity status is modeled,boundary case separating historical and contemporary capacity
